"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1030927.81","0.268","0.136","0.247","0.383","0.471","0.615"
"PING_MBULK","1041666.69","0.272","0.080","0.239","0.455","0.575","0.823"
"SET","934579.44","0.424","0.096","0.415","0.599","0.783","1.111"
"GET","1041666.69","0.360","0.096","0.351","0.535","0.591","0.807"
"INCR","990099.00","0.398","0.168","0.383","0.583","0.703","0.975"
"LPUSH","1000000.00","0.332","0.160","0.263","0.679","0.815","1.055"
"RPUSH","1030927.81","0.286","0.096","0.247","0.567","0.751","1.039"
"LPOP","813008.12","0.475","0.192","0.423","0.791","0.871","1.111"
"RPOP","1041666.69","0.392","0.112","0.367","0.639","0.807","1.143"
"SADD","970873.81","0.389","0.072","0.335","0.759","1.007","1.383"
"HSET","1041666.69","0.415","0.168","0.407","0.567","0.623","0.775"
"SPOP","598802.44","0.724","0.152","0.711","1.511","1.759","2.047"
"LPUSH (needed to benchmark LRANGE)","746268.62","0.608","0.224","0.591","0.839","0.935","1.191"
"LRANGE_100 (first 100 elements)","217864.92","1.380","0.600","1.127","2.543","3.167","3.647"
"MSET (10 keys)","362318.84","1.263","0.456","1.215","2.063","2.495","3.575"
