"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","111607.14","0.232","0.072","0.231","0.303","0.335","0.527"
"PING_MBULK","113122.17","0.228","0.064","0.231","0.263","0.311","0.503"
"SET","111111.12","0.236","0.072","0.231","0.303","0.367","0.959"
"GET","115340.26","0.226","0.064","0.223","0.295","0.343","0.975"
"INCR","118203.30","0.229","0.064","0.223","0.303","0.391","1.575"
"LPUSH","110619.47","0.237","0.088","0.231","0.311","0.319","1.175"
"RPUSH","116686.12","0.225","0.072","0.223","0.303","0.327","0.623"
"LPOP","116009.28","0.224","0.072","0.223","0.271","0.311","0.511"
"RPOP","111607.14","0.233","0.056","0.223","0.319","0.351","0.447"
"SADD","113507.38","0.231","0.056","0.223","0.303","0.391","0.863"
"HSET","112359.55","0.245","0.088","0.231","0.367","0.487","0.815"
"SPOP","109649.12","0.255","0.064","0.231","0.431","0.559","0.879"
"LPUSH (needed to benchmark LRANGE)","110253.59","0.235","0.088","0.231","0.311","0.327","0.479"
"LRANGE_100 (first 100 elements)","74571.22","0.347","0.152","0.319","0.447","0.463","0.799"
"MSET (10 keys)","108695.65","0.288","0.056","0.239","0.511","0.647","1.071"
