"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110619.47","0.238","0.008","0.231","0.319","0.439","3.295"
"PING_MBULK","110497.24","0.237","0.016","0.231","0.319","0.407","3.039"
"SET","111731.84","0.234","0.032","0.231","0.303","0.375","1.903"
"GET","108813.92","0.242","0.016","0.231","0.319","0.431","4.047"
"INCR","107181.13","0.246","0.016","0.231","0.327","0.439","3.143"
"LPUSH","112485.94","0.233","0.024","0.231","0.295","0.391","2.263"
"RPUSH","105820.11","0.249","0.016","0.239","0.335","0.447","4.263"
"LPOP","113122.17","0.232","0.024","0.223","0.303","0.415","2.279"
"RPOP","113507.38","0.234","0.016","0.223","0.287","0.463","4.383"
"SADD","112359.55","0.236","0.016","0.231","0.303","0.431","5.199"
"HSET","110253.59","0.241","0.016","0.231","0.319","0.479","2.703"
"SPOP","107874.87","0.245","0.016","0.231","0.319","0.455","5.607"
"LPUSH (needed to benchmark LRANGE)","110497.24","0.240","0.016","0.231","0.311","0.455","4.207"
"LRANGE_100 (first 100 elements)","71428.57","0.409","0.024","0.343","0.735","1.551","11.975"
"MSET (10 keys)","99108.03","0.344","0.016","0.247","0.887","1.887","19.055"
