"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","862069.00","0.348","0.032","0.303","0.607","1.047","12.295"
"PING_MBULK","900900.88","0.354","0.024","0.295","0.775","1.375","13.295"
"SET","854700.88","0.533","0.024","0.295","1.903","3.847","7.927"
"GET","1010101.00","0.379","0.024","0.279","0.887","1.615","14.703"
"INCR","917431.19","0.499","0.024","0.263","1.943","3.791","9.799"
"LPUSH","826446.31","0.593","0.016","0.183","1.679","2.239","4.487"
"RPUSH","746268.62","0.659","0.024","0.327","1.911","3.135","7.903"
"LPOP","800000.00","0.613","0.016","0.279","1.735","2.431","5.383"
"RPOP","826446.31","0.592","0.016","0.215","1.567","2.215","6.207"
"SADD","769230.81","0.641","0.024","0.431","1.631","2.295","4.047"
"HSET","714285.69","0.688","0.024","0.631","1.871","3.039","8.103"
"SPOP","735294.06","0.605","0.024","0.263","1.439","2.607","5.287"
"LPUSH (needed to benchmark LRANGE)","769230.81","0.635","0.024","0.287","1.703","2.375","6.543"
"LRANGE_100 (first 100 elements)","184501.84","1.998","0.192","1.199","6.135","11.655","20.223"
"MSET (10 keys)","175131.36","2.842","0.104","2.295","6.895","9.967","16.911"
