"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","108459.87","0.242","0.016","0.231","0.327","0.415","3.671"
"PING_MBULK","107758.62","0.263","0.016","0.239","0.391","0.903","9.287"
"SET","114025.09","0.235","0.016","0.223","0.303","0.519","7.271"
"GET","112739.57","0.234","0.016","0.223","0.311","0.415","3.383"
"INCR","105708.25","0.250","0.024","0.239","0.335","0.439","4.543"
"LPUSH","109409.20","0.243","0.016","0.231","0.319","0.463","5.215"
"RPUSH","111856.82","0.237","0.016","0.231","0.311","0.439","3.743"
"LPOP","112739.57","0.238","0.016","0.223","0.311","0.519","3.431"
"RPOP","114810.56","0.230","0.016","0.223","0.295","0.399","3.503"
"SADD","112612.61","0.235","0.008","0.223","0.311","0.423","3.359"
"HSET","101317.12","0.288","0.016","0.247","0.487","1.159","12.599"
"SPOP","105596.62","0.271","0.016","0.239","0.407","1.191","4.199"
"LPUSH (needed to benchmark LRANGE)","106609.80","0.247","0.016","0.239","0.335","0.439","3.599"
"LRANGE_100 (first 100 elements)","75528.70","0.384","0.032","0.327","0.679","1.415","16.319"
"MSET (10 keys)","104821.80","0.314","0.016","0.239","0.767","1.615","8.767"
