"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","109529.02","0.245","0.016","0.223","0.335","0.535","7.527"
"PING_MBULK","111111.12","0.247","0.008","0.223","0.335","0.615","13.999"
"SET","113122.17","0.233","0.016","0.223","0.319","0.399","4.391"
"GET","113507.38","0.234","0.008","0.223","0.303","0.407","7.119"
"INCR","116279.07","0.228","0.016","0.223","0.311","0.423","3.703"
"LPUSH","115740.73","0.228","0.016","0.223","0.295","0.423","3.975"
"RPUSH","116414.43","0.228","0.016","0.223","0.295","0.447","5.487"
"LPOP","114678.90","0.232","0.008","0.223","0.311","0.455","3.319"
"RPOP","113378.68","0.231","0.016","0.223","0.311","0.391","2.671"
"SADD","110619.47","0.240","0.016","0.231","0.311","0.447","3.047"
"HSET","115473.45","0.232","0.008","0.223","0.303","0.487","3.999"
"SPOP","107296.14","0.248","0.016","0.231","0.319","0.495","3.815"
"LPUSH (needed to benchmark LRANGE)","113895.21","0.230","0.016","0.223","0.311","0.399","2.063"
"LRANGE_100 (first 100 elements)","77942.32","0.372","0.024","0.319","0.655","1.375","24.575"
"MSET (10 keys)","105374.08","0.300","0.016","0.231","0.663","1.575","7.311"
