"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","724637.69","0.609","0.016","0.319","1.375","8.639","19.887"
"PING_MBULK","1020408.19","0.365","0.024","0.255","0.895","1.599","19.663"
"SET","505050.50","0.958","0.032","0.591","3.143","4.791","11.191"
"GET","763358.81","0.590","0.024","0.359","1.535","4.847","19.695"
"INCR","467289.72","1.057","0.032","0.615","3.807","6.439","9.511"
"LPUSH","478468.88","1.029","0.024","1.095","2.087","3.047","11.655"
"RPUSH","429184.56","1.149","0.024","1.111","2.239","3.407","8.735"
"LPOP","425531.91","1.157","0.024","1.095","3.063","5.207","7.719"
"RPOP","462962.94","1.062","0.024","1.087","2.175","4.495","10.015"
"SADD","406504.06","1.213","0.024","1.183","2.343","3.655","7.367"
"HSET","383141.75","1.292","0.032","1.143","3.271","5.743","8.583"
"SPOP","458715.59","1.072","0.016","1.079","2.887","4.479","8.191"
"LPUSH (needed to benchmark LRANGE)","438596.50","1.128","0.024","1.087","3.335","5.719","10.479"
"LRANGE_100 (first 100 elements)","156006.25","2.769","0.112","1.399","9.519","19.407","39.391"
"MSET (10 keys)","163666.12","3.039","0.120","2.543","7.015","10.959","24.223"
