"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110132.16","0.241","0.016","0.231","0.335","0.519","2.703"
"PING_MBULK","113636.37","0.237","0.016","0.223","0.319","0.559","7.431"
"SET","107296.14","0.252","0.016","0.239","0.335","0.615","3.679"
"GET","99009.90","0.280","0.016","0.247","0.423","0.895","6.143"
"INCR","106837.61","0.255","0.016","0.239","0.351","0.703","6.927"
"LPUSH","96899.23","0.274","0.016","0.271","0.343","0.487","8.279"
"RPUSH","90826.52","0.290","0.016","0.287","0.391","0.487","3.719"
"LPOP","96618.36","0.274","0.024","0.271","0.367","0.487","3.471"
"RPOP","97087.38","0.271","0.016","0.263","0.391","0.455","2.519"
"SADD","98231.83","0.271","0.016","0.263","0.351","0.487","3.015"
"HSET","95969.28","0.285","0.016","0.271","0.383","0.711","12.839"
"SPOP","102774.92","0.260","0.016","0.239","0.351","0.591","5.671"
"LPUSH (needed to benchmark LRANGE)","100000.00","0.271","0.016","0.255","0.367","0.743","5.639"
"LRANGE_100 (first 100 elements)","70571.62","0.425","0.024","0.359","0.791","1.799","16.351"
"MSET (10 keys)","96618.36","0.352","0.016","0.271","0.895","1.839","16.511"
