"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","990099.00","0.315","0.024","0.255","0.679","1.103","16.031"
"PING_MBULK","990099.00","0.337","0.024","0.263","0.631","1.007","16.311"
"SET","632911.38","0.775","0.032","0.439","2.783","4.695","8.215"
"GET","775193.81","0.585","0.032","0.383","1.487","3.615","12.783"
"INCR","613496.94","0.800","0.032","0.431","3.079","4.895","8.287"
"LPUSH","534759.31","0.925","0.024","1.071","1.607","2.535","3.687"
"RPUSH","460829.50","1.070","0.024","1.087","2.047","4.423","9.591"
"LPOP","505050.50","0.979","0.024","1.079","1.879","2.943","4.511"
"RPOP","512820.53","0.962","0.024","1.071","1.727","3.743","5.439"
"SADD","495049.50","0.997","0.024","1.087","1.767","2.703","7.407"
"HSET","469483.56","1.055","0.024","1.103","1.679","2.871","5.015"
"SPOP","526315.81","0.935","0.016","1.079","1.871","2.847","5.007"
"LPUSH (needed to benchmark LRANGE)","555555.56","0.888","0.024","1.063","1.351","2.415","3.967"
"LRANGE_100 (first 100 elements)","165289.25","2.516","0.112","1.271","8.631","13.399","28.975"
"MSET (10 keys)","172117.05","2.888","0.104","2.367","6.943","11.111","21.199"
