"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","99009.90","0.266","0.024","0.263","0.359","0.471","3.871"
"PING_MBULK","93545.37","0.291","0.016","0.279","0.399","0.911","10.703"
"SET","106382.98","0.248","0.016","0.231","0.335","0.439","4.335"
"GET","101317.12","0.266","0.016","0.247","0.359","0.727","4.735"
"INCR","101936.80","0.273","0.016","0.239","0.391","0.935","11.975"
"LPUSH","97465.88","0.283","0.016","0.263","0.391","0.951","5.583"
"RPUSH","101936.80","0.260","0.024","0.247","0.343","0.495","4.319"
"LPOP","102145.05","0.257","0.016","0.247","0.335","0.407","3.511"
"RPOP","106157.12","0.247","0.016","0.239","0.319","0.399","3.991"
"SADD","107411.38","0.245","0.024","0.231","0.327","0.415","3.527"
"HSET","103519.66","0.255","0.016","0.239","0.335","0.447","3.983"
"SPOP","103199.18","0.258","0.024","0.239","0.343","0.647","4.183"
"LPUSH (needed to benchmark LRANGE)","109289.62","0.246","0.016","0.231","0.319","0.647","3.975"
"LRANGE_100 (first 100 elements)","73855.24","0.397","0.032","0.335","0.727","1.551","14.327"
"MSET (10 keys)","103199.18","0.322","0.016","0.239","0.831","1.639","10.543"
