"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1098901.12","0.238","0.120","0.223","0.319","0.375","0.487"
"PING_MBULK","1111111.12","0.234","0.096","0.223","0.311","0.351","0.487"
"SET","952381.00","0.452","0.184","0.431","0.615","0.711","1.039"
"GET","1086956.50","0.361","0.112","0.359","0.535","0.599","0.807"
"INCR","1075268.75","0.391","0.080","0.383","0.551","0.647","0.967"
"LPUSH","1136363.62","0.311","0.136","0.303","0.471","0.551","0.823"
"RPUSH","1162790.62","0.274","0.144","0.255","0.415","0.535","0.839"
"LPOP","1063829.88","0.414","0.160","0.399","0.567","0.663","0.927"
"RPOP","862069.00","0.518","0.152","0.511","0.879","0.959","1.215"
"SADD","1030927.81","0.366","0.104","0.343","0.599","0.783","1.343"
"HSET","1020408.19","0.393","0.168","0.391","0.567","0.663","1.023"
"SPOP","628930.81","0.692","0.064","0.671","1.479","1.711","2.143"
"LPUSH (needed to benchmark LRANGE)","1075268.75","0.270","0.128","0.263","0.375","0.479","0.767"
"LRANGE_100 (first 100 elements)","208768.27","1.201","0.504","1.103","1.863","2.055","2.951"
"MSET (10 keys)","347222.25","1.333","0.432","1.335","1.799","2.359","3.375"
