"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","833333.38","0.537","0.024","0.375","1.463","3.031","9.679"
"PING_MBULK","909090.94","0.462","0.032","0.311","1.151","1.871","13.687"
"SET","952381.00","0.464","0.024","0.271","1.607","3.031","6.303"
"GET","943396.25","0.421","0.024","0.271","0.983","4.423","6.439"
"INCR","943396.25","0.475","0.024","0.255","1.751","3.247","5.775"
"LPUSH","793650.75","0.621","0.024","0.431","1.583","2.183","5.111"
"RPUSH","699300.69","0.701","0.024","0.847","2.023","2.975","6.559"
"LPOP","793650.75","0.617","0.024","0.223","1.575","2.855","5.479"
"RPOP","826446.31","0.595","0.016","0.183","1.591","2.639","6.847"
"SADD","757575.75","0.649","0.024","0.967","1.351","2.415","6.767"
"HSET","704225.31","0.697","0.024","0.991","1.495","2.231","4.695"
"SPOP","724637.69","0.649","0.024","0.807","1.279","2.199","4.727"
"LPUSH (needed to benchmark LRANGE)","769230.81","0.637","0.016","0.967","1.375","2.135","4.519"
"LRANGE_100 (first 100 elements)","189393.94","1.930","0.128","1.167","5.943","12.423","20.287"
"MSET (10 keys)","211416.50","2.353","0.104","1.919","5.727","7.927","13.855"
