"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","775193.81","0.488","0.032","0.319","1.279","3.847","9.367"
"PING_MBULK","884955.75","0.437","0.016","0.319","0.999","3.111","8.239"
"SET","869565.19","0.501","0.032","0.303","1.663","2.927","4.791"
"GET","884955.75","0.467","0.032","0.327","1.111","2.831","8.423"
"INCR","892857.12","0.488","0.032","0.295","1.679","3.071","5.303"
"LPUSH","636942.62","0.767","0.024","1.055","1.295","1.983","4.439"
"RPUSH","606060.56","0.810","0.024","1.063","1.343","2.239","4.751"
"LPOP","645161.31","0.761","0.024","1.047","1.231","1.999","3.119"
"RPOP","645161.31","0.758","0.024","1.047","1.287","2.111","6.159"
"SADD","578034.69","0.849","0.024","1.071","1.407","2.487","7.975"
"HSET","584795.31","0.838","0.024","1.079","1.247","1.783","3.255"
"SPOP","628930.81","0.781","0.016","1.039","1.303","2.199","7.679"
"LPUSH (needed to benchmark LRANGE)","641025.62","0.763","0.024","1.055","1.247","1.919","3.167"
"LRANGE_100 (first 100 elements)","172413.80","1.618","0.216","1.351","2.423","6.335","20.591"
"MSET (10 keys)","230414.75","2.155","0.112","1.791","4.959","6.631","11.175"
