"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","98522.17","0.265","0.032","0.255","0.343","0.415","2.399"
"PING_MBULK","99900.09","0.262","0.016","0.255","0.343","0.447","4.303"
"SET","96993.21","0.271","0.024","0.255","0.359","0.471","4.191"
"GET","102040.81","0.256","0.016","0.247","0.335","0.407","3.047"
"INCR","101729.40","0.258","0.024","0.247","0.335","0.415","4.127"
"LPUSH","104821.80","0.249","0.024","0.247","0.319","0.399","1.455"
"RPUSH","103092.78","0.254","0.024","0.247","0.335","0.407","3.407"
"LPOP","105932.20","0.245","0.016","0.239","0.327","0.383","1.367"
"RPOP","105263.16","0.248","0.024","0.247","0.311","0.375","3.839"
"SADD","104275.29","0.250","0.040","0.247","0.319","0.383","2.375"
"HSET","104712.05","0.249","0.024","0.247","0.319","0.383","2.103"
"SPOP","103519.66","0.253","0.016","0.247","0.327","0.407","2.023"
"LPUSH (needed to benchmark LRANGE)","108225.10","0.244","0.032","0.239","0.295","0.383","3.671"
"LRANGE_100 (first 100 elements)","73367.57","0.355","0.072","0.343","0.423","0.503","3.703"
"MSET (10 keys)","101729.40","0.282","0.016","0.255","0.407","0.991","7.847"
