test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,499999.970000,0.000000,0.298000,0.000000,0.056000,0.000000,0.271000,0.000000,0.527000,0.000000,0.559000,0.000000,0.567000,0.000000
PING_MBULK,333333.340000,0.000000,1.097000,0.000000,0.160000,0.000000,1.095000,0.000000,2.023000,0.000000,2.175000,0.000000,2.279000,0.000000
SET,499999.970000,0.000000,0.493000,0.000000,0.072000,0.000000,0.423000,0.000000,1.055000,0.000000,1.471000,0.000000,1.495000,0.000000
GET,999999.940000,0.000000,0.332000,0.000000,0.088000,0.000000,0.319000,0.000000,0.527000,0.000000,0.551000,0.000000,0.575000,0.000000
INCR,499999.970000,0.000000,0.375000,0.000000,0.064000,0.000000,0.367000,0.000000,0.607000,0.000000,0.631000,0.000000,0.631000,0.000000
LPUSH,333333.340000,0.000000,0.914000,0.000000,0.040000,0.000000,1.151000,0.000000,1.239000,0.000000,1.287000,0.000000,1.303000,0.000000
RPUSH,499999.970000,0.000000,0.689000,0.000000,0.032000,0.000000,0.895000,0.000000,1.247000,0.000000,1.279000,0.000000,1.479000,0.000000
LPOP,499999.970000,0.000000,0.872000,0.000000,0.032000,0.000000,0.975000,0.000000,2.007000,0.000000,2.047000,0.000000,2.055000,0.000000
RPOP,499999.970000,0.000000,0.899000,0.000000,0.032000,0.000000,0.975000,0.000000,1.383000,0.000000,1.423000,0.000000,1.479000,0.000000
SADD,499999.970000,0.000000,0.701000,0.000000,0.032000,0.000000,0.887000,0.000000,1.135000,0.000000,1.151000,0.000000,1.151000,0.000000
HSET,333333.340000,0.000000,0.875000,0.000000,0.040000,0.000000,1.111000,0.000000,1.495000,0.000000,1.519000,0.000000,1.879000,0.000000
SPOP,499999.970000,0.000000,0.660000,0.000000,0.032000,0.000000,0.919000,0.000000,1.127000,0.000000,1.151000,0.000000,1.151000,0.000000
LPUSH (needed to benchmark LRANGE),499999.970000,0.000000,0.752000,0.000000,0.032000,0.000000,1.071000,0.000000,1.319000,0.000000,1.351000,0.000000,1.359000,0.000000
LRANGE_100 (first 100 elements),200000.000000,0.000000,1.257000,0.000000,0.408000,0.000000,1.143000,0.000000,2.399000,0.000000,2.759000,0.000000,2.759000,0.000000
MSET (10 keys),200000.000000,0.000000,2.096000,0.000000,0.328000,0.000000,1.895000,0.000000,4.303000,0.000000,4.639000,0.000000,4.719000,0.000000
