"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","499999.97","0.298","0.056","0.271","0.527","0.559","0.567"
"PING_MBULK","333333.34","1.097","0.160","1.095","2.023","2.175","2.279"
"SET","499999.97","0.493","0.072","0.423","1.055","1.471","1.495"
"GET","999999.94","0.332","0.088","0.319","0.527","0.551","0.575"
"INCR","499999.97","0.375","0.064","0.367","0.607","0.631","0.631"
"LPUSH","333333.34","0.914","0.040","1.151","1.239","1.287","1.303"
"RPUSH","499999.97","0.689","0.032","0.895","1.247","1.279","1.479"
"LPOP","499999.97","0.872","0.032","0.975","2.007","2.047","2.055"
"RPOP","499999.97","0.899","0.032","0.975","1.383","1.423","1.479"
"SADD","499999.97","0.701","0.032","0.887","1.135","1.151","1.151"
"HSET","333333.34","0.875","0.040","1.111","1.495","1.519","1.879"
"SPOP","499999.97","0.660","0.032","0.919","1.127","1.151","1.151"
"LPUSH (needed to benchmark LRANGE)","499999.97","0.752","0.032","1.071","1.319","1.351","1.359"
"LRANGE_100 (first 100 elements)","200000.00","1.257","0.408","1.143","2.399","2.759","2.759"
"MSET (10 keys)","200000.00","2.096","0.328","1.895","4.303","4.639","4.719"
