"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","90909.09","0.283","0.064","0.271","0.439","0.551","0.783"
"PING_MBULK","76923.08","0.337","0.056","0.327","0.559","0.615","1.247"
"SET","100000.00","0.266","0.040","0.255","0.391","0.503","0.583"
"GET","124999.99","0.225","0.048","0.223","0.311","0.455","0.527"
"INCR","111111.12","0.241","0.056","0.223","0.479","0.695","0.815"
"LPUSH","100000.00","0.287","0.072","0.239","0.463","1.583","1.727"
"RPUSH","111111.12","0.229","0.032","0.231","0.335","0.383","0.439"
"LPOP","111111.12","0.235","0.032","0.231","0.343","0.415","0.479"
"RPOP","90909.09","0.325","0.048","0.271","0.591","1.631","1.999"
"SADD","100000.00","0.279","0.064","0.255","0.495","0.591","0.687"
"HSET","83333.34","0.338","0.072","0.327","0.559","1.111","1.415"
"SPOP","90909.09","0.299","0.040","0.279","0.511","0.655","1.423"
"LPUSH (needed to benchmark LRANGE)","100000.00","0.246","0.032","0.247","0.351","0.439","0.527"
"LRANGE_100 (first 100 elements)","58823.53","0.413","0.224","0.407","0.551","0.599","0.631"
"MSET (10 keys)","100000.00","0.240","0.056","0.223","0.375","0.487","0.655"
