test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,90909.090000,0.000000,0.283000,0.000000,0.064000,0.000000,0.271000,0.000000,0.439000,0.000000,0.551000,0.000000,0.783000,0.000000
PING_MBULK,76923.080000,0.000000,0.337000,0.000000,0.056000,0.000000,0.327000,0.000000,0.559000,0.000000,0.615000,0.000000,1.247000,0.000000
SET,100000.000000,0.000000,0.266000,0.000000,0.040000,0.000000,0.255000,0.000000,0.391000,0.000000,0.503000,0.000000,0.583000,0.000000
GET,124999.990000,0.000000,0.225000,0.000000,0.048000,0.000000,0.223000,0.000000,0.311000,0.000000,0.455000,0.000000,0.527000,0.000000
INCR,111111.120000,0.000000,0.241000,0.000000,0.056000,0.000000,0.223000,0.000000,0.479000,0.000000,0.695000,0.000000,0.815000,0.000000
LPUSH,100000.000000,0.000000,0.287000,0.000000,0.072000,0.000000,0.239000,0.000000,0.463000,0.000000,1.583000,0.000000,1.727000,0.000000
RPUSH,111111.120000,0.000000,0.229000,0.000000,0.032000,0.000000,0.231000,0.000000,0.335000,0.000000,0.383000,0.000000,0.439000,0.000000
LPOP,111111.120000,0.000000,0.235000,0.000000,0.032000,0.000000,0.231000,0.000000,0.343000,0.000000,0.415000,0.000000,0.479000,0.000000
RPOP,90909.090000,0.000000,0.325000,0.000000,0.048000,0.000000,0.271000,0.000000,0.591000,0.000000,1.631000,0.000000,1.999000,0.000000
SADD,100000.000000,0.000000,0.279000,0.000000,0.064000,0.000000,0.255000,0.000000,0.495000,0.000000,0.591000,0.000000,0.687000,0.000000
HSET,83333.340000,0.000000,0.338000,0.000000,0.072000,0.000000,0.327000,0.000000,0.559000,0.000000,1.111000,0.000000,1.415000,0.000000
SPOP,90909.090000,0.000000,0.299000,0.000000,0.040000,0.000000,0.279000,0.000000,0.511000,0.000000,0.655000,0.000000,1.423000,0.000000
LPUSH (needed to benchmark LRANGE),100000.000000,0.000000,0.246000,0.000000,0.032000,0.000000,0.247000,0.000000,0.351000,0.000000,0.439000,0.000000,0.527000,0.000000
LRANGE_100 (first 100 elements),58823.530000,0.000000,0.413000,0.000000,0.224000,0.000000,0.407000,0.000000,0.551000,0.000000,0.599000,0.000000,0.631000,0.000000
MSET (10 keys),100000.000000,0.000000,0.240000,0.000000,0.056000,0.000000,0.223000,0.000000,0.375000,0.000000,0.487000,0.000000,0.655000,0.000000
