"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","900900.88","0.427","0.032","0.303","0.983","1.887","10.127"
"PING_MBULK","806451.62","0.507","0.032","0.343","1.279","2.967","14.063"
"SET","505050.50","0.970","0.040","0.407","3.975","7.559","18.063"
"GET","719424.44","0.645","0.040","0.463","1.591","3.015","15.887"
"INCR","526315.81","0.932","0.040","0.391","3.935","7.279","13.831"
"LPUSH","413223.16","1.196","0.032","1.103","2.111","2.991","5.831"
"RPUSH","331125.84","1.487","0.040","1.327","3.007","4.119","5.439"
"LPOP","406504.06","1.211","0.032","1.103","2.079","4.391","6.431"
"RPOP","418410.06","1.181","0.032","1.111","1.783","2.839","4.975"
"SADD","386100.38","1.273","0.040","1.143","2.303","3.303","6.431"
"HSET","374531.84","1.321","0.040","1.215","1.999","3.447","7.007"
"SPOP","384615.41","1.282","0.024","1.159","2.631","4.287","7.511"
"LPUSH (needed to benchmark LRANGE)","400000.00","1.229","0.032","1.119","2.151","4.183","5.935"
"LRANGE_100 (first 100 elements)","145560.41","2.748","0.128","1.575","8.639","14.783","24.879"
"MSET (10 keys)","177304.97","2.783","0.152","2.295","6.615","9.047","16.687"
