"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","800000.00","0.420","0.040","0.319","1.151","2.159","14.439"
"PING_MBULK","877193.00","0.466","0.032","0.319","1.215","2.471","12.519"
"SET","621118.00","0.787","0.040","0.311","3.247","8.703","13.031"
"GET","819672.12","0.541","0.040","0.391","1.375","2.207","14.783"
"INCR","578034.69","0.851","0.040","0.351","3.559","8.231","16.463"
"LPUSH","467289.72","1.057","0.032","1.079","1.407","2.279","2.767"
"RPUSH","374531.84","1.324","0.032","1.303","1.799","2.783","5.839"
"LPOP","448430.47","1.101","0.032","1.095","1.535","2.215","4.007"
"RPOP","446428.56","1.108","0.032","1.087","1.639","2.951","5.743"
"SADD","427350.44","1.159","0.032","1.119","1.671","2.743","4.871"
"HSET","403225.81","1.226","0.040","1.207","1.567","2.047","3.975"
"SPOP","429184.56","1.155","0.024","1.127","1.879","3.223","6.527"
"LPUSH (needed to benchmark LRANGE)","462962.94","1.074","0.032","1.087","1.399","2.551","3.375"
"LRANGE_100 (first 100 elements)","170068.03","2.237","0.184","1.303","6.975","13.655","19.007"
"MSET (10 keys)","222717.16","2.234","0.120","1.799","5.311","7.647","15.879"
