"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","106269.93","0.246","0.024","0.231","0.327","0.391","1.735"
"PING_MBULK","97087.38","0.267","0.056","0.271","0.343","0.391","1.151"
"SET","95785.44","0.271","0.072","0.271","0.351","0.399","1.103"
"GET","112612.61","0.231","0.024","0.231","0.279","0.343","3.239"
"INCR","110864.74","0.235","0.032","0.231","0.295","0.359","3.215"
"LPUSH","102880.66","0.254","0.032","0.247","0.335","0.399","3.047"
"RPUSH","100000.00","0.264","0.016","0.255","0.335","0.471","5.599"
"LPOP","94786.73","0.274","0.064","0.279","0.335","0.383","1.271"
"RPOP","91407.68","0.284","0.040","0.287","0.359","0.423","1.335"
"SADD","90744.10","0.287","0.064","0.287","0.351","0.391","1.047"
"HSET","91324.20","0.288","0.024","0.287","0.367","0.455","3.871"
"SPOP","99009.90","0.264","0.016","0.263","0.335","0.399","2.183"
"LPUSH (needed to benchmark LRANGE)","91157.70","0.286","0.032","0.287","0.343","0.391","3.023"
"LRANGE_100 (first 100 elements)","69783.67","0.382","0.032","0.359","0.511","0.871","8.327"
"MSET (10 keys)","102880.66","0.264","0.024","0.247","0.351","0.511","5.223"
