"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1020408.19","0.266","0.024","0.255","0.367","0.599","1.519"
"PING_MBULK","961538.44","0.292","0.024","0.255","0.359","2.231","3.087"
"SET","980392.19","0.405","0.032","0.271","1.223","2.111","4.239"
"GET","952381.00","0.407","0.024","0.255","0.895","4.399","8.831"
"INCR","934579.44","0.475","0.024","0.287","1.567","2.831","5.735"
"LPUSH","769230.81","0.635","0.024","0.959","1.255","2.095","5.359"
"RPUSH","649350.62","0.758","0.024","0.911","1.223","2.103","4.319"
"LPOP","775193.81","0.633","0.024","0.991","1.159","1.975","3.071"
"RPOP","800000.00","0.611","0.024","0.967","1.159","1.919","3.127"
"SADD","699300.69","0.701","0.024","1.015","1.287","1.975","2.783"
"HSET","628930.81","0.785","0.024","0.991","1.223","2.039","3.079"
"SPOP","714285.69","0.624","0.024","0.783","1.167","2.279","4.727"
"LPUSH (needed to benchmark LRANGE)","787401.56","0.622","0.024","0.967","1.167","1.983","2.479"
"LRANGE_100 (first 100 elements)","195312.48","1.450","0.144","1.231","2.623","6.087","11.231"
"MSET (10 keys)","269541.78","1.840","0.096","1.447","4.431","6.471","16.007"
