"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","98619.32","0.265","0.024","0.263","0.335","0.439","4.095"
"PING_MBULK","98522.17","0.262","0.072","0.271","0.319","0.375","1.191"
"SET","111234.70","0.234","0.024","0.231","0.279","0.343","1.863"
"GET","110864.74","0.234","0.064","0.231","0.295","0.335","4.023"
"INCR","109409.20","0.238","0.024","0.231","0.303","0.351","3.119"
"LPUSH","112866.82","0.229","0.048","0.231","0.287","0.327","1.167"
"RPUSH","113507.38","0.229","0.016","0.223","0.287","0.335","3.143"
"LPOP","115074.80","0.225","0.048","0.223","0.271","0.319","1.455"
"RPOP","116822.43","0.222","0.040","0.223","0.263","0.311","1.303"
"SADD","114025.09","0.228","0.024","0.223","0.279","0.327","3.311"
"HSET","113122.17","0.231","0.032","0.223","0.287","0.335","3.031"
"SPOP","112107.62","0.232","0.016","0.223","0.295","0.351","1.807"
"LPUSH (needed to benchmark LRANGE)","112739.57","0.231","0.024","0.223","0.295","0.351","1.863"
"LRANGE_100 (first 100 elements)","78678.20","0.329","0.032","0.319","0.391","0.495","5.887"
"MSET (10 keys)","108342.37","0.254","0.024","0.239","0.343","0.711","8.527"
