"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","105263.16","0.250","0.016","0.239","0.343","0.439","2.023"
"PING_MBULK","111111.12","0.237","0.016","0.231","0.295","0.399","1.735"
"SET","109529.02","0.242","0.024","0.239","0.311","0.415","5.383"
"GET","108225.10","0.245","0.016","0.239","0.327","0.407","4.567"
"INCR","96805.42","0.275","0.024","0.271","0.359","0.503","3.935"
"LPUSH","102249.49","0.262","0.016","0.247","0.351","0.511","5.151"
"RPUSH","110497.24","0.240","0.016","0.231","0.303","0.439","3.943"
"LPOP","109769.48","0.242","0.016","0.231","0.319","0.431","2.055"
"RPOP","107296.14","0.246","0.024","0.239","0.327","0.423","3.967"
"SADD","104493.20","0.256","0.016","0.247","0.351","0.527","2.903"
"HSET","100200.40","0.268","0.016","0.255","0.359","0.567","6.207"
"SPOP","96711.80","0.275","0.016","0.271","0.359","0.615","2.247"
"LPUSH (needed to benchmark LRANGE)","91743.12","0.286","0.016","0.287","0.375","0.471","2.159"
"LRANGE_100 (first 100 elements)","70472.16","0.407","0.032","0.367","0.655","1.527","14.087"
"MSET (10 keys)","90991.81","0.347","0.016","0.295","0.687","1.599","10.311"
