"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","92850.51","0.288","0.040","0.255","0.383","0.783","3.607"
"PING_MBULK","89285.71","0.305","0.024","0.271","0.407","1.415","4.007"
"SET","90909.09","0.306","0.016","0.263","0.431","1.511","4.839"
"GET","92506.94","0.296","0.016","0.263","0.391","1.439","4.159"
"INCR","96899.23","0.276","0.040","0.255","0.375","0.679","3.623"
"LPUSH","99601.60","0.269","0.032","0.247","0.343","0.487","5.687"
"RPUSH","99009.90","0.272","0.024","0.247","0.351","0.679","3.831"
"LPOP","100704.94","0.262","0.032","0.239","0.343","0.463","3.247"
"RPOP","100908.17","0.264","0.024","0.239","0.351","0.551","3.567"
"SADD","100502.52","0.266","0.024","0.239","0.351","0.495","3.527"
"HSET","97847.36","0.273","0.040","0.247","0.351","0.503","4.055"
"SPOP","99900.09","0.268","0.016","0.247","0.351","0.935","4.615"
"LPUSH (needed to benchmark LRANGE)","101112.23","0.262","0.024","0.239","0.351","0.479","4.711"
"LRANGE_100 (first 100 elements)","70671.38","0.379","0.024","0.335","0.487","1.463","4.751"
"MSET (10 keys)","99009.90","0.285","0.024","0.247","0.383","1.159","7.183"
