"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","584795.31","0.788","0.032","0.471","2.711","5.095","14.591"
"PING_MBULK","613496.94","0.763","0.032","0.463","2.279","4.935","20.127"
"SET","335570.47","1.456","0.048","0.751","5.007","9.023","19.471"
"GET","467289.72","1.035","0.048","0.679","3.175","6.143","10.639"
"INCR","323624.62","1.515","0.048","0.775","5.511","8.943","19.055"
"LPUSH","274725.28","1.788","0.040","1.591","3.943","5.815","9.271"
"RPUSH","228310.50","2.147","0.040","1.855","4.623","7.455","9.959"
"LPOP","283286.12","1.727","0.040","1.559","3.671","5.527","10.111"
"RPOP","306748.47","1.598","0.040","1.415","3.623","4.871","7.871"
"SADD","275482.09","1.775","0.040","1.615","3.671","5.391","8.975"
"HSET","262467.19","1.868","0.048","1.655","4.287","5.607","10.167"
"SPOP","270270.28","1.809","0.032","1.503","4.679","7.143","13.007"
"LPUSH (needed to benchmark LRANGE)","280112.06","1.742","0.040","1.551","3.783","5.871","13.959"
"LRANGE_100 (first 100 elements)","124688.28","3.524","0.144","2.031","11.335","18.511","29.583"
"MSET (10 keys)","121654.50","4.042","0.144","3.591","8.975","12.615","21.919"
