"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","917431.19","0.327","0.024","0.271","0.543","1.183","9.679"
"PING_MBULK","917431.19","0.320","0.024","0.255","0.495","1.783","3.967"
"SET","775193.81","0.564","0.032","0.335","2.127","3.551","7.551"
"GET","793650.75","0.515","0.024","0.327","1.247","3.447","9.535"
"INCR","657894.75","0.723","0.032","0.343","3.015","5.799","8.735"
"LPUSH","552486.19","0.877","0.024","1.047","2.087","4.407","6.551"
"RPUSH","558659.19","0.879","0.024","1.031","1.567","2.943","5.087"
"LPOP","657894.75","0.744","0.024","1.031","1.263","2.079","5.263"
"RPOP","645161.31","0.750","0.024","1.015","1.455","2.791","5.207"
"SADD","531914.94","0.917","0.024","1.071","1.607","2.847","5.375"
"HSET","500000.00","0.966","0.024","1.079","1.583","3.703","4.855"
"SPOP","578034.69","0.776","0.016","0.991","1.559","3.007","5.567"
"LPUSH (needed to benchmark LRANGE)","492610.84","0.986","0.024","1.079","2.047","4.455","8.991"
"LRANGE_100 (first 100 elements)","167224.08","1.856","0.096","1.407","4.647","8.119","16.479"
"MSET (10 keys)","178571.42","2.774","0.120","2.311","6.455","9.039","18.783"
