"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","104384.13","0.250","0.016","0.231","0.335","0.415","3.743"
"PING_MBULK","104275.29","0.251","0.016","0.231","0.335","0.431","3.271"
"SET","99800.40","0.267","0.032","0.247","0.351","0.479","3.807"
"GET","100908.17","0.266","0.024","0.239","0.351","0.695","3.863"
"INCR","96618.36","0.287","0.024","0.247","0.391","1.247","4.311"
"LPUSH","102354.15","0.261","0.032","0.239","0.343","0.551","4.079"
"RPUSH","105820.11","0.251","0.024","0.231","0.319","0.447","3.999"
"LPOP","102880.66","0.257","0.024","0.239","0.335","0.423","3.575"
"RPOP","100502.52","0.266","0.024","0.239","0.343","0.591","4.607"
"SADD","100300.91","0.270","0.024","0.239","0.351","0.759","5.135"
"HSET","99601.60","0.267","0.024","0.247","0.359","0.543","3.839"
"SPOP","105042.02","0.256","0.016","0.231","0.327","0.735","5.879"
"LPUSH (needed to benchmark LRANGE)","106269.93","0.250","0.024","0.231","0.319","0.407","3.743"
"LRANGE_100 (first 100 elements)","71581.96","0.373","0.016","0.327","0.471","1.303","5.335"
"MSET (10 keys)","98328.42","0.289","0.024","0.247","0.391","1.199","4.391"
