"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","952381.00","0.298","0.072","0.255","0.455","0.615","3.543"
"PING_MBULK","1020408.19","0.261","0.080","0.247","0.343","0.463","0.655"
"SET","862069.00","0.509","0.208","0.479","0.695","0.967","2.095"
"GET","806451.62","0.533","0.168","0.511","0.791","0.967","3.663"
"INCR","900900.88","0.478","0.184","0.447","0.687","0.863","3.503"
"LPUSH","869565.19","0.454","0.192","0.431","0.735","0.919","1.447"
"RPUSH","909090.94","0.373","0.072","0.343","0.575","0.743","3.239"
"LPOP","892857.12","0.481","0.200","0.447","0.687","1.063","3.063"
"RPOP","925925.88","0.432","0.160","0.423","0.655","0.815","1.239"
"SADD","806451.62","0.512","0.176","0.431","0.959","1.567","3.695"
"HSET","806451.62","0.535","0.184","0.503","0.783","0.983","2.375"
"SPOP","526315.81","0.835","0.072","0.775","1.823","2.919","3.911"
"LPUSH (needed to benchmark LRANGE)","952381.00","0.404","0.168","0.391","0.647","0.839","1.239"
"LRANGE_100 (first 100 elements)","194552.53","1.372","0.512","1.247","2.095","3.519","7.951"
"MSET (10 keys)","269541.78","1.726","0.472","1.695","2.543","4.167","4.767"
