"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","99601.60","0.262","0.104","0.247","0.343","0.415","2.239"
"PING_MBULK","97181.73","0.275","0.072","0.247","0.367","0.583","3.815"
"SET","99009.90","0.280","0.088","0.247","0.431","0.623","5.023"
"GET","105263.16","0.248","0.064","0.239","0.319","0.399","3.183"
"INCR","101729.40","0.259","0.064","0.239","0.351","0.431","3.343"
"LPUSH","100100.10","0.262","0.064","0.239","0.327","0.407","9.071"
"RPUSH","102249.49","0.259","0.056","0.239","0.351","0.431","3.639"
"LPOP","105932.20","0.250","0.056","0.231","0.319","0.423","3.431"
"RPOP","103950.10","0.255","0.072","0.239","0.327","0.431","3.447"
"SADD","104058.27","0.258","0.056","0.231","0.335","0.503","8.799"
"HSET","100100.10","0.266","0.064","0.247","0.375","0.471","8.863"
"SPOP","102354.15","0.261","0.072","0.239","0.359","0.447","3.255"
"LPUSH (needed to benchmark LRANGE)","96061.48","0.279","0.072","0.255","0.383","0.551","4.407"
"LRANGE_100 (first 100 elements)","67204.30","0.395","0.168","0.351","0.511","1.503","4.327"
"MSET (10 keys)","97656.24","0.410","0.096","0.399","0.615","0.751","3.783"
