"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","333333.31","1.482","0.056","0.839","5.063","11.855","23.935"
"PING_MBULK","409836.06","1.192","0.056","0.807","3.599","6.311","17.407"
"SET","221238.94","2.234","0.064","1.263","7.399","14.023","29.583"
"GET","299401.22","1.656","0.064","0.935","5.375","12.359","22.863"
"INCR","228310.50","2.168","0.064","1.135","7.631","15.103","27.503"
"LPUSH","192678.23","2.564","0.056","2.431","4.863","6.535","12.695"
"RPUSH","170357.75","2.903","0.064","2.663","5.455","7.599","16.943"
"LPOP","188323.91","2.623","0.048","2.391","5.263","8.311","13.943"
"RPOP","187969.92","2.626","0.056","2.447","5.127","6.991","10.487"
"SADD","178571.42","2.761","0.056","2.559","5.479","8.591","11.495"
"HSET","176991.16","2.789","0.056","2.567","5.479","7.807","11.095"
"SPOP","188679.25","2.621","0.048","2.463","5.047","8.023","13.247"
"LPUSH (needed to benchmark LRANGE)","188323.91","2.619","0.056","2.431","5.087","8.455","16.215"
"LRANGE_100 (first 100 elements)","116550.12","4.050","0.144","2.623","12.295","20.351","35.135"
"MSET (10 keys)","107758.62","4.608","0.136","3.799","11.199","16.087","26.687"
