"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","91575.09","0.349","0.016","0.271","0.775","1.919","7.559"
"PING_MBULK","90415.91","0.357","0.016","0.263","0.831","2.231","11.551"
"SET","94339.62","0.348","0.016","0.263","0.839","1.791","8.031"
"GET","89047.20","0.357","0.016","0.279","0.759","2.079","7.535"
"INCR","92081.03","0.360","0.016","0.271","0.831","1.759","16.063"
"LPUSH","91240.88","0.360","0.016","0.279","0.815","1.999","12.479"
"RPUSH","85397.09","0.407","0.016","0.287","1.087","2.503","12.935"
"LPOP","90171.33","0.369","0.008","0.279","0.887","2.087","8.311"
"RPOP","89047.20","0.368","0.016","0.287","0.863","1.807","10.967"
"SADD","93370.68","0.348","0.016","0.263","0.759","1.951","9.927"
"HSET","81699.35","0.419","0.016","0.295","1.055","3.079","11.927"
"SPOP","90415.91","0.370","0.016","0.271","0.943","2.191","11.415"
"LPUSH (needed to benchmark LRANGE)","87565.68","0.367","0.016","0.287","0.855","2.007","7.247"
"LRANGE_100 (first 100 elements)","60350.03","0.615","0.024","0.399","1.751","3.791","20.847"
"MSET (10 keys)","78247.26","0.522","0.024","0.327","1.559","3.631","15.063"
