"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","331125.84","1.477","0.040","0.831","5.159","9.551","29.183"
"PING_MBULK","404858.31","1.178","0.048","0.719","3.943","8.527","20.223"
"SET","212765.95","2.292","0.056","1.575","6.591","9.935","22.319"
"GET","297619.06","1.635","0.056","0.959","4.895","10.407","22.335"
"INCR","209205.03","2.350","0.056","1.255","8.519","13.831","23.663"
"LPUSH","190476.20","2.579","0.048","2.199","5.983","9.623","18.223"
"RPUSH","170357.75","2.890","0.056","2.535","6.239","10.479","16.879"
"LPOP","219298.25","2.241","0.048","2.119","4.479","6.215","8.255"
"RPOP","215517.25","2.279","0.048","2.079","4.695","6.847","13.791"
"SADD","206611.58","2.376","0.048","2.143","5.351","7.599","9.855"
"HSET","194552.53","2.526","0.056","2.215","5.463","7.551","12.543"
"SPOP","226757.36","2.177","0.040","2.079","4.239","6.199","8.767"
"LPUSH (needed to benchmark LRANGE)","196078.44","2.500","0.048","2.135","5.735","8.719","13.047"
"LRANGE_100 (first 100 elements)","116279.07","3.966","0.136","2.359","12.583","22.575","45.375"
"MSET (10 keys)","116144.02","4.281","0.144","3.543","10.455","16.271","27.999"
