"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","84961.77","0.385","0.016","0.279","0.959","2.439","8.495"
"PING_MBULK","91659.03","0.342","0.016","0.263","0.743","2.023","6.567"
"SET","90826.52","0.365","0.016","0.271","0.887","2.071","8.559"
"GET","87873.46","0.377","0.016","0.271","0.927","2.431","17.615"
"INCR","88652.48","0.377","0.016","0.279","0.903","2.495","9.447"
"LPUSH","84602.37","0.402","0.016","0.287","0.991","3.015","9.647"
"RPUSH","79176.56","0.454","0.016","0.303","1.183","3.351","10.343"
"LPOP","76045.62","0.467","0.016","0.319","1.287","3.375","12.135"
"RPOP","74962.52","0.470","0.016","0.319","1.343","3.399","11.439"
"SADD","84530.86","0.382","0.016","0.295","0.847","2.151","7.791"
"HSET","87412.59","0.354","0.016","0.287","0.727","1.727","8.631"
"SPOP","85836.91","0.369","0.016","0.287","0.807","2.047","5.239"
"LPUSH (needed to benchmark LRANGE)","87642.41","0.346","0.016","0.287","0.679","1.567","9.231"
"LRANGE_100 (first 100 elements)","58207.21","0.609","0.024","0.415","1.591","3.719","19.247"
"MSET (10 keys)","75471.70","0.534","0.024","0.343","1.503","3.615","18.975"
