"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1041666.69","0.254","0.024","0.247","0.335","0.487","1.183"
"PING_MBULK","1041666.69","0.274","0.024","0.247","0.391","0.999","4.871"
"SET","909090.94","0.420","0.032","0.319","1.183","2.807","6.559"
"GET","943396.25","0.321","0.032","0.271","0.623","1.199","9.951"
"INCR","943396.25","0.475","0.024","0.271","1.655","3.431","6.383"
"LPUSH","740740.69","0.662","0.024","0.967","1.279","2.911","5.143"
"RPUSH","666666.62","0.732","0.024","0.911","1.279","1.975","6.079"
"LPOP","735294.06","0.668","0.024","0.903","1.679","2.383","6.167"
"RPOP","729927.06","0.660","0.024","0.935","1.423","2.911","5.119"
"SADD","645161.31","0.723","0.024","0.855","1.679","2.783","7.399"
"HSET","628930.81","0.782","0.024","0.911","1.271","2.007","2.983"
"SPOP","699300.69","0.632","0.024","0.791","1.135","2.023","4.367"
"LPUSH (needed to benchmark LRANGE)","735294.06","0.664","0.024","0.975","1.263","2.031","5.559"
"LRANGE_100 (first 100 elements)","210970.47","1.373","0.088","1.183","2.863","5.439","15.679"
"MSET (10 keys)","262467.19","1.889","0.112","1.511","4.511","6.255","12.103"
