"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","112485.94","0.230","0.032","0.223","0.287","0.351","3.239"
"PING_MBULK","110375.27","0.235","0.024","0.223","0.303","0.375","2.463"
"SET","108577.63","0.240","0.024","0.231","0.311","0.375","3.519"
"GET","109890.11","0.236","0.064","0.231","0.295","0.343","3.279"
"INCR","104166.67","0.257","0.024","0.239","0.343","0.551","9.527"
"LPUSH","109649.12","0.239","0.016","0.231","0.303","0.399","3.711"
"RPUSH","105708.25","0.248","0.024","0.231","0.327","0.399","3.807"
"LPOP","107181.13","0.242","0.056","0.231","0.303","0.367","3.551"
"RPOP","108342.37","0.240","0.040","0.231","0.303","0.343","2.871"
"SADD","106609.80","0.246","0.040","0.239","0.303","0.375","3.575"
"HSET","108577.63","0.240","0.024","0.231","0.319","0.375","1.559"
"SPOP","108342.37","0.241","0.024","0.231","0.311","0.367","3.007"
"LPUSH (needed to benchmark LRANGE)","105042.02","0.249","0.032","0.239","0.327","0.415","4.063"
"LRANGE_100 (first 100 elements)","77821.02","0.334","0.032","0.319","0.423","0.567","4.351"
"MSET (10 keys)","107758.62","0.246","0.024","0.239","0.319","0.391","4.343"
