"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","917431.19","0.337","0.080","0.287","0.615","0.767","1.047"
"PING_MBULK","970873.81","0.278","0.080","0.247","0.343","0.455","3.903"
"SET","787401.56","0.562","0.208","0.503","0.751","2.895","4.239"
"GET","892857.12","0.461","0.184","0.431","0.687","1.023","3.239"
"INCR","826446.31","0.537","0.184","0.479","0.871","1.343","3.599"
"LPUSH","934579.44","0.355","0.144","0.319","0.591","0.767","0.975"
"RPUSH","840336.12","0.379","0.088","0.351","0.631","0.791","1.023"
"LPOP","757575.75","0.542","0.120","0.527","0.831","1.023","1.399"
"RPOP","900900.88","0.456","0.152","0.407","0.775","0.975","3.807"
"SADD","917431.19","0.425","0.112","0.383","0.719","1.263","3.679"
"HSET","862069.00","0.509","0.216","0.471","0.703","0.951","3.119"
"SPOP","540540.56","0.800","0.080","0.759","1.783","2.223","2.903"
"LPUSH (needed to benchmark LRANGE)","862069.00","0.386","0.104","0.351","0.631","0.863","3.543"
"LRANGE_100 (first 100 elements)","161550.89","1.668","0.568","1.487","2.767","5.663","7.543"
"MSET (10 keys)","289855.06","1.602","0.480","1.591","2.183","4.103","5.047"
