"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","102564.10","0.259","0.024","0.231","0.343","0.519","4.735"
"PING_MBULK","103412.62","0.255","0.016","0.239","0.343","0.447","5.047"
"SET","101626.02","0.267","0.008","0.239","0.351","0.623","13.071"
"GET","100806.45","0.274","0.016","0.239","0.399","0.807","11.239"
"INCR","106269.93","0.249","0.024","0.239","0.335","0.495","3.983"
"LPUSH","102986.61","0.258","0.016","0.239","0.367","0.519","5.239"
"RPUSH","110987.79","0.234","0.048","0.231","0.311","0.367","1.927"
"LPOP","107991.36","0.247","0.016","0.231","0.335","0.479","12.095"
"RPOP","102145.05","0.261","0.016","0.239","0.343","0.615","5.159"
"SADD","100704.94","0.269","0.016","0.247","0.359","0.695","5.999"
"HSET","109649.12","0.242","0.024","0.231","0.319","0.439","4.495"
"SPOP","97943.19","0.279","0.016","0.247","0.383","0.999","5.599"
"LPUSH (needed to benchmark LRANGE)","98231.83","0.281","0.016","0.247","0.399","0.919","4.839"
"LRANGE_100 (first 100 elements)","65061.81","0.463","0.024","0.343","0.879","3.175","13.575"
"MSET (10 keys)","103092.78","0.265","0.024","0.239","0.367","0.623","10.487"
