"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","103412.62","0.250","0.064","0.239","0.327","0.375","0.927"
"PING_MBULK","95510.98","0.271","0.064","0.279","0.343","0.415","0.767"
"SET","90826.52","0.286","0.032","0.287","0.351","0.399","2.791"
"GET","101010.10","0.257","0.064","0.247","0.327","0.391","1.031"
"INCR","100100.10","0.261","0.032","0.255","0.335","0.407","3.567"
"LPUSH","94250.71","0.276","0.024","0.287","0.351","0.423","4.407"
"RPUSH","100300.91","0.259","0.040","0.247","0.351","0.423","1.711"
"LPOP","112233.45","0.232","0.040","0.231","0.279","0.359","2.215"
"RPOP","110497.24","0.236","0.016","0.231","0.295","0.359","3.239"
"SADD","102040.81","0.256","0.024","0.247","0.319","0.391","1.567"
"HSET","111982.08","0.233","0.024","0.231","0.279","0.351","3.991"
"SPOP","105263.16","0.248","0.016","0.239","0.319","0.383","1.975"
"LPUSH (needed to benchmark LRANGE)","96246.39","0.271","0.032","0.279","0.335","0.399","3.095"
"LRANGE_100 (first 100 elements)","74682.60","0.360","0.032","0.335","0.439","0.879","7.927"
"MSET (10 keys)","99700.90","0.270","0.024","0.255","0.343","0.487","2.679"
