"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","757575.75","0.597","0.024","0.327","1.567","4.727","32.271"
"PING_MBULK","625000.00","0.709","0.024","0.359","2.119","5.423","25.359"
"SET","352112.66","1.404","0.032","0.855","4.735","7.751","23.839"
"GET","581395.31","0.829","0.032","0.495","2.079","6.511","17.599"
"INCR","367647.03","1.353","0.032","0.863","4.263","6.823","13.975"
"LPUSH","326797.41","1.514","0.024","1.223","4.151","6.687","13.527"
"RPUSH","335570.47","1.475","0.024","1.207","4.103","6.319","12.671"
"LPOP","315457.41","1.563","0.024","1.263","4.191","7.967","11.111"
"RPOP","340136.06","1.455","0.024","1.239","3.863","6.159","15.519"
"SADD","280112.06","1.766","0.024","1.439","4.399","9.511","12.263"
"HSET","314465.41","1.574","0.032","1.327","4.071","6.463","11.903"
"SPOP","328947.38","1.506","0.024","1.223","3.951","6.679","24.575"
"LPUSH (needed to benchmark LRANGE)","336700.34","1.468","0.024","1.231","3.687","6.567","17.247"
"LRANGE_100 (first 100 elements)","117508.81","4.034","0.112","2.255","13.263","23.791","42.143"
"MSET (10 keys)","112107.62","4.447","0.120","3.679","10.871","15.663","27.263"
