"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","100100.10","0.336","0.008","0.247","0.799","2.095","8.159"
"PING_MBULK","97847.36","0.349","0.008","0.255","0.831","2.047","13.511"
"SET","90826.52","0.379","0.016","0.287","0.895","2.023","12.223"
"GET","95510.98","0.358","0.008","0.263","0.863","1.943","13.863"
"INCR","98039.22","0.357","0.016","0.255","0.895","1.855","10.151"
"LPUSH","94966.77","0.362","0.008","0.263","0.871","2.087","14.367"
"RPUSH","93896.71","0.359","0.016","0.271","0.879","2.023","14.567"
"LPOP","97276.27","0.351","0.016","0.255","0.855","1.735","16.359"
"RPOP","98135.42","0.351","0.008","0.255","0.871","1.799","21.999"
"SADD","95602.30","0.359","0.016","0.263","0.863","1.895","15.631"
"HSET","98911.96","0.346","0.016","0.255","0.847","1.903","12.223"
"SPOP","95147.48","0.359","0.016","0.263","0.887","2.095","21.951"
"LPUSH (needed to benchmark LRANGE)","95969.28","0.353","0.008","0.263","0.839","1.927","11.927"
"LRANGE_100 (first 100 elements)","66181.34","0.547","0.024","0.383","1.439","2.743","19.647"
"MSET (10 keys)","80906.16","0.529","0.016","0.319","1.607","3.335","17.759"
