test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,1000000.000000,92956.070000,0.285000,0.013000,0.024000,0.008000,0.255000,0.016000,0.463000,0.056000,1.071000,0.128000,3.359000,1.016000
PING_MBULK,1010101.000000,216372.260000,0.299000,0.039000,0.032000,0.032000,0.247000,0.072000,0.511000,0.256000,1.223000,0.688000,2.967000,2.368000
SET,847457.620000,48249.260000,0.549000,0.030000,0.032000,0.008000,0.295000,0.032000,2.031000,0.208000,3.855000,1.224000,8.495000,5.056000
GET,961538.440000,93680.810000,0.363000,0.070000,0.032000,0.000000,0.263000,0.000000,0.903000,0.240000,1.791000,1.712000,11.183000,5.144000
INCR,806451.620000,63087.500000,0.581000,0.047000,0.032000,0.000000,0.295000,0.024000,2.415000,0.264000,3.959000,1.304000,6.847000,5.104000
LPUSH,564971.750000,83623.680000,0.870000,0.144000,0.024000,0.000000,1.047000,0.032000,1.719000,0.408000,2.439000,0.504000,3.623000,1.072000
RPUSH,515463.910000,67098.470000,0.964000,0.120000,0.024000,0.000000,1.047000,0.024000,1.559000,0.120000,2.023000,0.544000,5.751000,2.824000
LPOP,568181.810000,26744.250000,0.870000,0.046000,0.024000,0.000000,1.023000,0.008000,1.559000,0.088000,2.295000,0.392000,4.935000,3.416000
RPOP,578034.690000,22997.560000,0.858000,0.032000,0.024000,0.000000,1.007000,0.016000,1.495000,0.080000,2.239000,0.168000,4.215000,1.096000
SADD,537634.380000,25890.340000,0.921000,0.047000,0.024000,0.000000,1.047000,0.032000,1.543000,0.088000,2.023000,0.360000,3.719000,2.376000
HSET,505050.500000,29402.380000,0.980000,0.053000,0.024000,0.000000,1.055000,0.008000,1.575000,0.016000,2.127000,0.384000,4.255000,1.184000
SPOP,555555.560000,28909.120000,0.869000,0.062000,0.016000,0.000000,0.951000,0.080000,1.551000,0.024000,3.175000,0.904000,7.527000,4.640000
LPUSH (needed to benchmark LRANGE),546448.060000,29882.810000,0.898000,0.045000,0.024000,0.000000,1.039000,0.056000,1.583000,0.272000,2.279000,1.256000,4.271000,1.968000
LRANGE_100 (first 100 elements),174825.170000,5580.660000,2.109000,0.089000,0.144000,0.072000,1.271000,0.056000,6.303000,0.624000,11.375000,1.432000,21.983000,2.736000
MSET (10 keys),233644.860000,2163.390000,2.126000,0.023000,0.104000,0.016000,1.703000,0.064000,5.103000,0.136000,7.055000,0.216000,14.151000,1.424000
