"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1063829.88","0.276","0.024","0.239","0.503","1.071","3.359"
"PING_MBULK","1063829.88","0.278","0.032","0.239","0.511","1.223","2.967"
"SET","854700.88","0.555","0.024","0.271","2.111","4.471","10.679"
"GET","970873.81","0.342","0.032","0.263","0.847","1.367","16.255"
"INCR","826446.31","0.581","0.032","0.271","2.415","3.959","6.847"
"LPUSH","571428.56","0.869","0.024","1.031","1.495","2.439","4.583"
"RPUSH","574712.69","0.860","0.024","1.031","1.543","2.007","6.879"
"LPOP","591716.00","0.834","0.024","1.023","1.559","2.295","3.463"
"RPOP","584795.31","0.846","0.024","1.023","1.575","2.239","3.455"
"SADD","537634.38","0.921","0.024","1.047","1.503","1.807","2.719"
"HSET","505050.50","0.980","0.024","1.055","1.559","2.447","3.087"
"SPOP","552486.19","0.886","0.016","0.999","1.567","3.695","9.687"
"LPUSH (needed to benchmark LRANGE)","546448.06","0.898","0.024","1.039","1.711","3.135","4.263"
"LRANGE_100 (first 100 elements)","173310.22","2.109","0.144","1.311","6.295","10.647","21.983"
"MSET (10 keys)","233644.86","2.125","0.104","1.687","5.103","7.055","14.551"
