"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","115606.94","0.225","0.032","0.223","0.271","0.343","1.615"
"PING_MBULK","100908.17","0.257","0.072","0.263","0.311","0.351","1.383"
"SET","95969.28","0.270","0.056","0.271","0.327","0.375","1.119"
"GET","112359.55","0.231","0.032","0.231","0.279","0.343","1.415"
"INCR","112107.62","0.232","0.016","0.231","0.311","0.383","1.447"
"LPUSH","100300.91","0.259","0.016","0.255","0.335","0.383","1.567"
"RPUSH","113378.68","0.230","0.024","0.231","0.287","0.359","3.615"
"LPOP","113636.37","0.228","0.032","0.231","0.287","0.343","1.047"
"RPOP","112612.61","0.231","0.040","0.231","0.287","0.343","1.831"
"SADD","111111.12","0.233","0.064","0.231","0.303","0.351","1.167"
"HSET","106609.80","0.244","0.024","0.239","0.319","0.367","2.583"
"SPOP","114678.90","0.228","0.016","0.223","0.287","0.359","1.895"
"LPUSH (needed to benchmark LRANGE)","112233.45","0.231","0.024","0.231","0.303","0.351","1.911"
"LRANGE_100 (first 100 elements)","75930.14","0.350","0.032","0.327","0.455","0.815","5.687"
"MSET (10 keys)","111856.82","0.239","0.024","0.231","0.311","0.383","5.255"
