test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,115606.940000,12544.630000,0.225000,0.028000,0.032000,0.008000,0.223000,0.040000,0.271000,0.032000,0.343000,0.024000,1.727000,0.752000
PING_MBULK,112994.350000,15641.950000,0.230000,0.035000,0.032000,0.048000,0.223000,0.040000,0.303000,0.040000,0.351000,0.032000,1.383000,0.752000
SET,99502.480000,19905.580000,0.261000,0.046000,0.024000,0.048000,0.263000,0.048000,0.319000,0.056000,0.367000,0.032000,1.399000,1.144000
GET,112359.550000,22349.680000,0.231000,0.056000,0.032000,0.008000,0.231000,0.056000,0.287000,0.080000,0.359000,0.072000,1.431000,0.216000
INCR,108932.460000,15953.770000,0.241000,0.039000,0.016000,0.008000,0.231000,0.040000,0.319000,0.024000,0.391000,0.008000,1.943000,0.848000
LPUSH,106723.590000,10810.210000,0.245000,0.021000,0.016000,0.024000,0.239000,0.024000,0.319000,0.040000,0.391000,0.040000,3.959000,7.536000
RPUSH,113378.680000,14953.480000,0.230000,0.035000,0.024000,0.008000,0.231000,0.040000,0.287000,0.040000,0.359000,0.024000,3.455000,0.448000
LPOP,108695.650000,20439.720000,0.239000,0.051000,0.048000,0.048000,0.231000,0.048000,0.303000,0.040000,0.343000,0.024000,1.047000,0.336000
RPOP,104493.200000,14573.390000,0.249000,0.034000,0.032000,0.008000,0.239000,0.040000,0.319000,0.032000,0.359000,0.024000,2.023000,1.768000
SADD,103305.790000,8861.630000,0.252000,0.023000,0.032000,0.048000,0.247000,0.016000,0.327000,0.032000,0.367000,0.040000,1.327000,1.248000
HSET,111607.140000,5623.650000,0.234000,0.012000,0.024000,0.008000,0.231000,0.008000,0.295000,0.032000,0.367000,0.016000,2.583000,1.120000
SPOP,109409.200000,19802.240000,0.239000,0.046000,0.016000,0.008000,0.231000,0.048000,0.295000,0.048000,0.367000,0.040000,2.343000,0.752000
LPUSH (needed to benchmark LRANGE),112233.450000,10861.450000,0.231000,0.023000,0.024000,0.048000,0.231000,0.024000,0.303000,0.032000,0.351000,0.032000,1.911000,1.512000
LRANGE_100 (first 100 elements),75930.140000,2362.590000,0.351000,0.010000,0.032000,0.000000,0.327000,0.008000,0.455000,0.032000,0.959000,0.320000,5.687000,7.480000
MSET (10 keys),111358.580000,13721.400000,0.242000,0.033000,0.024000,0.000000,0.231000,0.032000,0.311000,0.048000,0.439000,0.072000,4.943000,0.688000
