test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,869565.190000,130029.630000,0.473000,0.069000,0.032000,0.008000,0.319000,0.024000,1.199000,0.240000,3.095000,1.136000,10.071000,9.912000
PING_MBULK,877193.000000,38156.240000,0.487000,0.056000,0.024000,0.008000,0.335000,0.048000,1.279000,0.096000,2.879000,2.304000,9.015000,4.360000
SET,609756.060000,7436.380000,0.808000,0.009000,0.040000,0.000000,0.359000,0.016000,3.239000,0.144000,6.671000,1.552000,11.031000,2.688000
GET,781249.940000,34981.320000,0.625000,0.028000,0.040000,0.008000,0.463000,0.040000,1.599000,0.072000,2.847000,1.040000,9.911000,3.168000
INCR,588235.310000,28701.630000,0.832000,0.039000,0.040000,0.000000,0.343000,0.024000,3.559000,0.216000,7.567000,1.440000,11.911000,3.376000
LPUSH,423728.810000,57424.090000,1.168000,0.174000,0.032000,0.000000,1.167000,0.096000,1.631000,0.136000,2.479000,1.136000,4.135000,2.184000
RPUSH,387596.910000,43500.690000,1.275000,0.135000,0.032000,0.008000,1.215000,0.072000,1.783000,0.176000,2.983000,0.368000,5.431000,1.664000
LPOP,431034.500000,9330.780000,1.148000,0.029000,0.032000,0.000000,1.151000,0.008000,1.631000,0.144000,2.631000,0.672000,5.911000,3.176000
RPOP,442477.880000,7763.250000,1.118000,0.015000,0.032000,0.008000,1.151000,0.008000,1.527000,0.128000,2.255000,0.720000,3.471000,1.360000
SADD,414937.750000,5144.070000,1.189000,0.011000,0.032000,0.000000,1.175000,0.008000,1.775000,0.216000,2.503000,0.496000,3.911000,1.232000
HSET,403225.810000,43513.590000,1.229000,0.150000,0.032000,0.008000,1.199000,0.056000,1.895000,0.704000,3.343000,1.904000,5.975000,2.448000
SPOP,404858.310000,38997.910000,1.224000,0.123000,0.032000,0.008000,1.215000,0.032000,1.967000,0.304000,3.367000,1.944000,6.239000,2.528000
LPUSH (needed to benchmark LRANGE),418410.060000,42049.400000,1.182000,0.128000,0.032000,0.008000,1.175000,0.104000,1.767000,0.264000,2.535000,0.376000,4.951000,1.592000
LRANGE_100 (first 100 elements),174825.170000,10431.760000,2.202000,0.096000,0.136000,0.016000,1.311000,0.072000,6.487000,0.656000,11.559000,2.912000,22.255000,2.848000
MSET (10 keys),220750.550000,10448.330000,2.249000,0.113000,0.112000,0.008000,1.799000,0.160000,5.439000,0.192000,7.631000,0.304000,14.511000,2.032000
