"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","869565.19","0.516","0.024","0.327","1.343","4.119","10.071"
"PING_MBULK","877193.00","0.487","0.032","0.335","1.247","2.039","9.015"
"SET","606060.56","0.811","0.040","0.359","3.335","7.903","12.039"
"GET","746268.62","0.653","0.040","0.503","1.631","2.479","8.727"
"INCR","584795.31","0.841","0.040","0.351","3.559","7.567","15.071"
"LPUSH","423728.81","1.168","0.032","1.167","1.631","2.479","3.431"
"RPUSH","423728.81","1.168","0.032","1.159","1.631","2.639","5.431"
"LPOP","431034.50","1.148","0.032","1.159","1.727","3.007","6.751"
"RPOP","444444.47","1.118","0.032","1.151","1.591","2.255","3.327"
"SADD","411522.62","1.197","0.032","1.175","1.935","2.503","4.743"
"HSET","403225.81","1.227","0.032","1.199","1.647","2.519","4.391"
"SPOP","404858.31","1.224","0.032","1.215","1.967","3.271","5.647"
"LPUSH (needed to benchmark LRANGE)","418410.06","1.182","0.032","1.175","1.767","2.535","3.967"
"LRANGE_100 (first 100 elements)","174825.17","2.202","0.136","1.311","6.303","14.279","19.807"
"MSET (10 keys)","220750.55","2.249","0.112","1.775","5.439","7.631","14.511"
