"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","108577.63","0.241","0.016","0.231","0.311","0.383","2.119"
"PING_MBULK","106837.61","0.248","0.016","0.239","0.335","0.423","10.399"
"SET","104821.80","0.249","0.024","0.239","0.327","0.407","1.535"
"GET","111982.08","0.235","0.024","0.231","0.279","0.383","1.687"
"INCR","111856.82","0.234","0.024","0.231","0.279","0.359","1.471"
"LPUSH","111482.72","0.235","0.024","0.231","0.295","0.375","2.735"
"RPUSH","111731.84","0.235","0.024","0.231","0.279","0.359","2.447"
"LPOP","110987.79","0.237","0.024","0.231","0.295","0.375","2.471"
"RPOP","112485.94","0.232","0.016","0.231","0.287","0.359","2.279"
"SADD","107526.88","0.243","0.024","0.239","0.327","0.383","1.591"
"HSET","112359.55","0.235","0.016","0.231","0.279","0.383","2.167"
"SPOP","108932.46","0.242","0.008","0.231","0.303","0.423","2.127"
"LPUSH (needed to benchmark LRANGE)","106609.80","0.245","0.024","0.239","0.319","0.383","2.479"
"LRANGE_100 (first 100 elements)","72358.90","0.379","0.032","0.343","0.487","1.103","16.767"
"MSET (10 keys)","108813.92","0.256","0.024","0.239","0.351","0.751","4.671"
