test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,1149425.380000,13061.760000,0.229000,0.037000,0.072000,0.032000,0.223000,0.008000,0.287000,0.168000,0.351000,0.232000,0.695000,0.416000
PING_MBULK,1098901.120000,96793.760000,0.239000,0.034000,0.072000,0.000000,0.223000,0.008000,0.311000,0.136000,0.407000,0.136000,0.615000,0.200000
SET,970873.810000,66704.750000,0.454000,0.026000,0.184000,0.008000,0.439000,0.024000,0.607000,0.056000,0.671000,0.112000,0.943000,0.176000
GET,1123595.500000,36639.000000,0.328000,0.035000,0.104000,0.072000,0.319000,0.040000,0.503000,0.072000,0.591000,0.080000,0.783000,0.224000
INCR,1086956.500000,130718.930000,0.391000,0.035000,0.136000,0.024000,0.383000,0.016000,0.543000,0.096000,0.647000,0.184000,1.007000,0.440000
LPUSH,1123595.500000,72533.740000,0.345000,0.026000,0.144000,0.008000,0.343000,0.016000,0.511000,0.096000,0.599000,0.184000,0.959000,0.336000
RPUSH,1136363.620000,12768.120000,0.269000,0.038000,0.080000,0.000000,0.255000,0.016000,0.415000,0.152000,0.527000,0.224000,0.799000,0.352000
LPOP,1041666.690000,32902.070000,0.411000,0.031000,0.152000,0.072000,0.399000,0.016000,0.567000,0.024000,0.663000,0.064000,1.055000,0.064000
RPOP,1086956.500000,23632.370000,0.368000,0.030000,0.168000,0.048000,0.367000,0.032000,0.559000,0.032000,0.703000,0.128000,0.959000,0.064000
SADD,1052631.620000,53728.880000,0.354000,0.071000,0.072000,0.016000,0.327000,0.072000,0.583000,0.136000,0.767000,0.144000,1.199000,0.120000
HSET,1020408.190000,89285.690000,0.425000,0.034000,0.144000,0.032000,0.407000,0.040000,0.575000,0.056000,0.663000,0.056000,1.015000,0.800000
SPOP,606060.560000,38140.180000,0.718000,0.055000,0.072000,0.072000,0.695000,0.048000,1.511000,0.128000,1.759000,0.184000,2.063000,0.384000
LPUSH (needed to benchmark LRANGE),1111111.120000,48326.750000,0.310000,0.033000,0.080000,0.064000,0.295000,0.016000,0.463000,0.128000,0.543000,0.208000,0.855000,0.320000
LRANGE_100 (first 100 elements),218340.610000,9324.610000,1.161000,0.062000,0.424000,0.008000,1.103000,0.040000,1.503000,0.376000,1.823000,0.272000,2.799000,0.512000
MSET (10 keys),350877.190000,9782.350000,1.315000,0.035000,0.448000,0.080000,1.343000,0.032000,1.751000,0.080000,1.975000,0.152000,2.855000,0.240000
