"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1136363.62","0.263","0.104","0.231","0.439","0.559","0.695"
"PING_MBULK","1098901.12","0.239","0.072","0.223","0.311","0.407","0.615"
"SET","970873.81","0.454","0.184","0.439","0.607","0.671","0.823"
"GET","1123595.50","0.311","0.104","0.295","0.463","0.543","0.751"
"INCR","980392.19","0.421","0.160","0.399","0.631","0.775","1.207"
"LPUSH","1063829.88","0.369","0.136","0.351","0.607","0.751","1.015"
"RPUSH","1123595.50","0.302","0.080","0.263","0.535","0.687","0.959"
"LPOP","1063829.88","0.411","0.152","0.399","0.567","0.663","1.087"
"RPOP","1098901.12","0.356","0.120","0.343","0.559","0.703","0.967"
"SADD","1052631.62","0.327","0.072","0.295","0.559","0.767","1.111"
"HSET","952381.00","0.442","0.120","0.439","0.623","0.703","1.015"
"SPOP","636942.62","0.670","0.072","0.647","1.439","1.679","1.887"
"LPUSH (needed to benchmark LRANGE)","1123595.50","0.300","0.080","0.287","0.447","0.511","0.703"
"LRANGE_100 (first 100 elements)","216919.73","1.161","0.416","1.103","1.639","1.823","2.799"
"MSET (10 keys)","344827.59","1.343","0.424","1.359","1.783","1.975","2.863"
