"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","112866.82","0.229","0.056","0.223","0.295","0.343","2.175"
"PING_MBULK","117785.63","0.219","0.072","0.215","0.247","0.327","0.591"
"SET","117647.05","0.219","0.072","0.215","0.255","0.327","0.447"
"GET","117508.81","0.220","0.072","0.215","0.271","0.319","0.439"
"INCR","118483.41","0.217","0.064","0.215","0.263","0.319","0.495"
"LPUSH","115074.80","0.224","0.072","0.215","0.287","0.335","0.527"
"RPUSH","116009.28","0.222","0.072","0.215","0.287","0.327","0.543"
"LPOP","118483.41","0.218","0.056","0.215","0.271","0.327","0.471"
"RPOP","118623.96","0.218","0.064","0.215","0.247","0.319","0.687"
"SADD","118203.30","0.219","0.048","0.215","0.263","0.335","0.607"
"HSET","118203.30","0.219","0.064","0.215","0.255","0.319","0.743"
"SPOP","114547.53","0.227","0.064","0.215","0.295","0.343","0.575"
"LPUSH (needed to benchmark LRANGE)","116550.12","0.222","0.056","0.215","0.287","0.335","0.511"
"LRANGE_100 (first 100 elements)","79491.26","0.321","0.224","0.311","0.407","0.447","0.615"
"MSET (10 keys)","112866.82","0.257","0.064","0.247","0.375","0.479","0.807"
