test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,112866.820000,24589.080000,0.229000,0.059000,0.056000,0.024000,0.223000,0.064000,0.295000,0.032000,0.343000,0.032000,2.175000,0.560000
PING_MBULK,116279.070000,19263.460000,0.222000,0.042000,0.064000,0.024000,0.215000,0.056000,0.287000,0.088000,0.327000,0.072000,0.575000,0.096000
SET,117647.050000,26165.570000,0.219000,0.061000,0.072000,0.008000,0.215000,0.064000,0.263000,0.064000,0.327000,0.056000,0.631000,1.208000
GET,117508.810000,33748.770000,0.220000,0.075000,0.072000,0.016000,0.215000,0.072000,0.271000,0.104000,0.319000,0.072000,1.143000,1.192000
INCR,118483.410000,32873.980000,0.217000,0.076000,0.064000,0.024000,0.215000,0.072000,0.271000,0.120000,0.319000,0.104000,0.495000,1.128000
LPUSH,115074.800000,33944.180000,0.224000,0.077000,0.072000,0.024000,0.215000,0.072000,0.287000,0.096000,0.335000,0.088000,0.527000,1.440000
RPUSH,116009.280000,31680.330000,0.222000,0.072000,0.072000,0.016000,0.215000,0.072000,0.287000,0.128000,0.327000,0.104000,0.543000,0.160000
LPOP,118203.300000,25199.830000,0.218000,0.063000,0.064000,0.008000,0.215000,0.064000,0.279000,0.064000,0.327000,0.056000,0.471000,0.144000
RPOP,118343.190000,7636.170000,0.218000,0.015000,0.064000,0.024000,0.215000,0.016000,0.279000,0.056000,0.327000,0.024000,0.551000,0.160000
SADD,118203.300000,3733.580000,0.219000,0.006000,0.064000,0.040000,0.215000,0.016000,0.263000,0.040000,0.335000,0.000000,0.607000,0.032000
HSET,118203.300000,10920.780000,0.219000,0.019000,0.064000,0.008000,0.215000,0.024000,0.255000,0.024000,0.319000,0.016000,0.463000,0.312000
SPOP,117785.630000,14986.150000,0.222000,0.016000,0.064000,0.008000,0.215000,0.016000,0.295000,0.024000,0.359000,0.064000,0.623000,0.224000
LPUSH (needed to benchmark LRANGE),117370.890000,10353.430000,0.220000,0.019000,0.056000,0.000000,0.215000,0.016000,0.255000,0.056000,0.319000,0.032000,0.463000,0.096000
LRANGE_100 (first 100 elements),79491.260000,6167.950000,0.321000,0.024000,0.160000,0.096000,0.311000,0.024000,0.383000,0.072000,0.447000,0.064000,0.735000,0.944000
MSET (10 keys),112866.820000,4671.930000,0.257000,0.015000,0.064000,0.000000,0.247000,0.008000,0.375000,0.032000,0.479000,0.056000,0.855000,0.144000
