test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,980392.190000,170426.880000,0.403000,0.024000,0.032000,0.016000,0.295000,0.024000,0.951000,0.224000,1.983000,0.888000,11.527000,5.680000
PING_MBULK,909090.940000,69972.930000,0.459000,0.059000,0.032000,0.008000,0.319000,0.016000,1.127000,0.088000,2.223000,2.080000,8.799000,3.888000
SET,689655.190000,0.000000,0.711000,0.007000,0.032000,0.008000,0.303000,0.032000,2.791000,0.264000,6.263000,0.272000,10.351000,3.368000
GET,854700.880000,7368.120000,0.541000,0.027000,0.032000,0.008000,0.399000,0.016000,1.343000,0.096000,2.167000,1.024000,9.991000,2.376000
INCR,694444.500000,29354.190000,0.705000,0.025000,0.032000,0.000000,0.311000,0.032000,3.047000,0.248000,5.983000,1.208000,9.751000,3.576000
LPUSH,487804.880000,56770.380000,1.016000,0.133000,0.032000,0.000000,1.119000,0.056000,1.535000,0.256000,2.511000,0.176000,4.623000,1.144000
RPUSH,434782.590000,54402.410000,1.137000,0.132000,0.032000,0.000000,1.151000,0.040000,1.551000,0.200000,2.591000,0.144000,5.151000,1.512000
LPOP,492610.840000,14280.280000,1.003000,0.029000,0.032000,0.000000,1.119000,0.016000,1.415000,0.136000,2.167000,0.096000,4.903000,1.040000
RPOP,485436.910000,7104.310000,1.017000,0.008000,0.032000,0.008000,1.119000,0.016000,1.415000,0.096000,2.535000,0.664000,3.167000,2.320000
SADD,458715.590000,31455.780000,1.078000,0.076000,0.032000,0.000000,1.135000,0.032000,1.519000,0.232000,2.295000,0.080000,4.119000,1.736000
HSET,425531.910000,22503.530000,1.161000,0.062000,0.032000,0.000000,1.151000,0.048000,1.647000,0.104000,2.759000,0.472000,4.735000,4.968000
SPOP,465116.280000,17312.660000,1.060000,0.047000,0.024000,0.000000,1.119000,0.008000,1.639000,0.184000,2.879000,0.432000,6.351000,1.712000
LPUSH (needed to benchmark LRANGE),465116.280000,56527.940000,1.061000,0.142000,0.032000,0.000000,1.127000,0.056000,1.583000,0.208000,2.295000,0.328000,4.383000,1.808000
LRANGE_100 (first 100 elements),181818.170000,8384.930000,2.018000,0.118000,0.136000,0.032000,1.255000,0.032000,6.351000,0.784000,11.743000,0.904000,20.351000,5.360000
MSET (10 keys),239234.440000,4514.050000,2.076000,0.034000,0.104000,0.016000,1.719000,0.048000,4.999000,0.112000,6.943000,0.448000,12.399000,1.968000
