"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","990099.00","0.408","0.032","0.295","1.047","1.983","8.359"
"PING_MBULK","900900.88","0.459","0.032","0.319","1.127","2.223","8.799"
"SET","689655.19","0.712","0.032","0.303","2.999","6.263","9.127"
"GET","854700.88","0.555","0.032","0.399","1.383","2.967","9.991"
"INCR","714285.69","0.690","0.032","0.319","2.815","5.983","9.751"
"LPUSH","487804.88","1.016","0.032","1.119","1.535","2.391","4.623"
"RPUSH","434782.59","1.137","0.032","1.151","1.551","2.591","5.151"
"LPOP","492610.84","1.003","0.032","1.119","1.415","2.159","3.975"
"RPOP","490196.09","1.013","0.032","1.119","1.407","2.535","3.135"
"SADD","473933.66","1.042","0.032","1.119","1.423","2.263","4.903"
"HSET","444444.47","1.110","0.032","1.127","1.695","2.807","8.471"
"SPOP","465116.28","1.060","0.024","1.119","1.655","2.879","5.215"
"LPUSH (needed to benchmark LRANGE)","465116.28","1.061","0.032","1.127","1.639","2.295","3.343"
"LRANGE_100 (first 100 elements)","183823.52","1.998","0.136","1.255","5.799","10.983","20.351"
"MSET (10 keys)","239808.16","2.075","0.104","1.671","5.015","6.943","11.071"
