test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,111856.820000,5341.290000,0.233000,0.010000,0.032000,0.024000,0.223000,0.008000,0.311000,0.056000,0.367000,0.040000,3.527000,3.208000
PING_MBULK,113636.370000,8521.780000,0.228000,0.018000,0.032000,0.016000,0.223000,0.008000,0.295000,0.048000,0.343000,0.024000,1.463000,1.000000
SET,110011.000000,3217.700000,0.238000,0.006000,0.016000,0.008000,0.231000,0.000000,0.311000,0.032000,0.383000,0.032000,1.967000,1.704000
GET,111234.700000,4631.460000,0.234000,0.015000,0.024000,0.016000,0.231000,0.008000,0.303000,0.040000,0.359000,0.128000,2.503000,8.728000
INCR,110132.160000,7866.350000,0.240000,0.024000,0.024000,0.008000,0.231000,0.016000,0.303000,0.048000,0.415000,0.192000,4.151000,2.408000
LPUSH,111731.840000,13421.270000,0.234000,0.044000,0.016000,0.008000,0.231000,0.024000,0.279000,0.112000,0.375000,0.560000,3.951000,3.384000
RPUSH,111607.140000,1606.810000,0.234000,0.005000,0.024000,0.000000,0.231000,0.000000,0.303000,0.016000,0.359000,0.048000,1.903000,1.344000
LPOP,112866.820000,3457.620000,0.231000,0.007000,0.024000,0.000000,0.231000,0.000000,0.295000,0.024000,0.359000,0.016000,1.367000,2.072000
RPOP,109890.110000,3609.200000,0.236000,0.008000,0.024000,0.040000,0.231000,0.008000,0.303000,0.024000,0.359000,0.016000,2.807000,2.824000
SADD,109409.200000,6004.040000,0.238000,0.014000,0.016000,0.024000,0.231000,0.008000,0.311000,0.008000,0.367000,0.008000,1.687000,0.912000
HSET,114025.090000,9771.120000,0.230000,0.021000,0.024000,0.008000,0.231000,0.016000,0.287000,0.048000,0.383000,0.040000,1.799000,0.624000
SPOP,108695.650000,2685.610000,0.241000,0.005000,0.016000,0.000000,0.231000,0.000000,0.319000,0.016000,0.399000,0.024000,2.439000,2.080000
LPUSH (needed to benchmark LRANGE),112485.940000,5282.280000,0.233000,0.011000,0.024000,0.008000,0.231000,0.000000,0.287000,0.040000,0.367000,0.016000,3.327000,2.432000
LRANGE_100 (first 100 elements),73046.020000,3289.860000,0.368000,0.020000,0.032000,0.000000,0.335000,0.016000,0.471000,0.024000,0.967000,0.328000,7.815000,1.976000
MSET (10 keys),106609.800000,1460.430000,0.262000,0.021000,0.024000,0.008000,0.239000,0.000000,0.359000,0.128000,0.735000,0.576000,8.367000,2.184000
