test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,598802.440000,102141.840000,0.754000,0.136000,0.024000,0.008000,0.415000,0.056000,2.663000,1.184000,5.887000,3.816000,21.695000,10.080000
PING_MBULK,628930.810000,123015.940000,0.731000,0.104000,0.024000,0.008000,0.407000,0.040000,2.407000,0.816000,4.983000,1.360000,17.071000,7.608000
SET,347222.250000,34192.930000,1.419000,0.157000,0.032000,0.000000,0.911000,0.088000,4.607000,0.712000,7.887000,2.088000,13.639000,4.488000
GET,523560.220000,43478.250000,0.911000,0.088000,0.024000,0.008000,0.487000,0.080000,2.903000,0.776000,6.287000,3.168000,25.071000,3.376000
INCR,326797.410000,54972.530000,1.516000,0.243000,0.032000,0.008000,0.927000,0.256000,4.943000,0.600000,7.903000,1.248000,21.135000,5.200000
LPUSH,304878.030000,88268.700000,1.618000,0.534000,0.024000,0.008000,1.311000,0.280000,4.551000,1.976000,6.935000,2.088000,12.543000,10.576000
RPUSH,272479.560000,74061.730000,1.811000,0.419000,0.024000,0.008000,1.431000,0.416000,4.887000,0.536000,7.023000,1.408000,13.607000,2.608000
LPOP,294117.660000,72509.860000,1.685000,0.490000,0.024000,0.000000,1.383000,0.368000,4.639000,1.856000,7.911000,2.280000,13.159000,0.824000
RPOP,302114.810000,56330.900000,1.638000,0.285000,0.024000,0.000000,1.407000,0.288000,4.383000,0.544000,6.831000,1.384000,11.583000,3.336000
SADD,284900.280000,59451.390000,1.734000,0.400000,0.024000,0.008000,1.463000,0.272000,4.855000,1.000000,8.567000,0.304000,19.503000,7.488000
HSET,258397.940000,54006.000000,1.904000,0.372000,0.032000,0.008000,1.519000,0.384000,5.079000,0.992000,7.831000,3.120000,16.415000,7.760000
SPOP,286532.940000,40108.230000,1.727000,0.232000,0.016000,0.008000,1.343000,0.096000,5.103000,1.248000,8.239000,2.128000,15.471000,6.816000
LPUSH (needed to benchmark LRANGE),284090.910000,63145.470000,1.739000,0.364000,0.024000,0.000000,1.335000,0.376000,4.655000,0.768000,7.215000,1.168000,12.823000,9.064000
LRANGE_100 (first 100 elements),108577.630000,15681.290000,4.320000,0.463000,0.120000,0.016000,2.639000,0.232000,13.839000,1.456000,21.887000,6.480000,39.455000,6.304000
MSET (10 keys),105820.110000,10975.640000,4.677000,0.541000,0.128000,0.008000,3.983000,0.224000,11.199000,2.160000,15.535000,3.648000,26.047000,9.504000
