test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,95328.880000,4477.980000,0.359000,0.011000,0.008000,0.000000,0.255000,0.024000,0.879000,0.064000,2.167000,0.256000,13.175000,18.192000
PING_MBULK,95877.280000,6964.540000,0.362000,0.043000,0.008000,0.000000,0.255000,0.016000,0.927000,0.232000,2.287000,0.560000,17.887000,10.600000
SET,98619.320000,6233.550000,0.360000,0.009000,0.008000,0.000000,0.255000,0.016000,0.911000,0.040000,2.015000,0.168000,12.351000,7.632000
GET,96805.420000,2593.070000,0.359000,0.017000,0.008000,0.000000,0.247000,0.008000,0.903000,0.072000,2.351000,0.592000,16.479000,4.224000
INCR,96525.090000,5760.690000,0.360000,0.042000,0.008000,0.000000,0.255000,0.016000,0.919000,0.136000,2.015000,0.656000,12.855000,6.080000
LPUSH,95785.440000,5531.680000,0.373000,0.033000,0.008000,0.000000,0.255000,0.008000,0.943000,0.096000,2.279000,0.544000,14.983000,2.792000
RPUSH,96711.800000,1404.400000,0.361000,0.019000,0.008000,0.008000,0.255000,0.000000,0.887000,0.064000,2.247000,0.512000,15.207000,5.496000
LPOP,98328.420000,2828.390000,0.357000,0.006000,0.008000,0.000000,0.255000,0.008000,0.919000,0.080000,1.919000,0.232000,16.703000,6.776000
RPOP,96153.850000,7843.900000,0.367000,0.035000,0.008000,0.008000,0.255000,0.016000,0.895000,0.136000,2.471000,0.920000,12.303000,2.760000
SADD,97087.380000,4051.000000,0.356000,0.017000,0.016000,0.008000,0.255000,0.016000,0.911000,0.112000,2.183000,0.304000,11.247000,11.896000
HSET,95419.850000,3265.060000,0.360000,0.020000,0.016000,0.008000,0.255000,0.008000,0.951000,0.184000,2.071000,0.376000,11.167000,1.216000
SPOP,97181.730000,3291.310000,0.356000,0.025000,0.016000,0.008000,0.255000,0.024000,0.879000,0.120000,1.863000,0.776000,10.623000,14.264000
LPUSH (needed to benchmark LRANGE),97751.710000,3838.610000,0.352000,0.021000,0.008000,0.008000,0.255000,0.008000,0.895000,0.096000,2.119000,0.224000,9.263000,10.264000
LRANGE_100 (first 100 elements),65963.060000,1036.110000,0.574000,0.030000,0.024000,0.008000,0.359000,0.024000,1.471000,0.160000,3.583000,0.672000,21.967000,5.776000
MSET (10 keys),84602.370000,4789.720000,0.517000,0.036000,0.016000,0.000000,0.311000,0.032000,1.567000,0.096000,3.231000,0.128000,16.127000,9.888000
