test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,113895.210000,9749.800000,0.229000,0.020000,0.032000,0.016000,0.231000,0.016000,0.303000,0.048000,0.367000,0.016000,1.663000,0.664000
PING_MBULK,108108.110000,15960.850000,0.243000,0.038000,0.040000,0.032000,0.231000,0.040000,0.311000,0.056000,0.383000,0.064000,3.703000,2.816000
SET,108459.870000,11881.980000,0.243000,0.024000,0.024000,0.000000,0.231000,0.024000,0.311000,0.056000,0.383000,0.032000,2.847000,3.552000
GET,100200.400000,14842.430000,0.260000,0.034000,0.024000,0.032000,0.255000,0.040000,0.319000,0.048000,0.375000,0.040000,1.583000,2.512000
INCR,112107.620000,3203.410000,0.233000,0.008000,0.024000,0.000000,0.231000,0.000000,0.287000,0.024000,0.359000,0.056000,2.991000,1.408000
LPUSH,110253.590000,6121.910000,0.238000,0.013000,0.024000,0.024000,0.231000,0.008000,0.303000,0.024000,0.367000,0.016000,3.071000,2.208000
RPUSH,111856.820000,1003.220000,0.235000,0.001000,0.024000,0.008000,0.231000,0.000000,0.287000,0.008000,0.367000,0.016000,3.327000,2.216000
LPOP,110741.970000,3480.800000,0.236000,0.007000,0.024000,0.008000,0.231000,0.000000,0.303000,0.024000,0.367000,0.016000,1.751000,1.936000
RPOP,110497.240000,6136.590000,0.236000,0.012000,0.032000,0.008000,0.231000,0.008000,0.303000,0.040000,0.367000,0.032000,3.791000,2.400000
SADD,113250.280000,2666.510000,0.231000,0.004000,0.024000,0.016000,0.231000,0.000000,0.287000,0.024000,0.375000,0.040000,2.343000,2.264000
HSET,113378.680000,2777.850000,0.231000,0.007000,0.032000,0.016000,0.231000,0.000000,0.279000,0.016000,0.383000,0.040000,1.559000,0.408000
SPOP,109170.300000,9728.540000,0.241000,0.020000,0.016000,0.000000,0.231000,0.016000,0.311000,0.040000,0.455000,0.120000,4.087000,2.016000
LPUSH (needed to benchmark LRANGE),106723.590000,7764.980000,0.249000,0.023000,0.016000,0.000000,0.231000,0.008000,0.335000,0.040000,0.487000,0.240000,3.911000,4.592000
LRANGE_100 (first 100 elements),76161.460000,461.940000,0.362000,0.015000,0.032000,0.000000,0.327000,0.008000,0.471000,0.056000,1.055000,0.384000,8.479000,6.608000
MSET (10 keys),108342.370000,4738.430000,0.254000,0.011000,0.024000,0.000000,0.239000,0.000000,0.335000,0.016000,0.647000,0.064000,5.735000,5.560000
