"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","621118.00","0.742","0.024","0.351","1.999","11.247","29.871"
"PING_MBULK","609756.06","0.775","0.016","0.463","2.287","4.975","23.279"
"SET","354609.94","1.395","0.032","0.903","4.311","7.655","17.503"
"GET","469483.56","1.043","0.032","0.575","3.751","7.151","20.479"
"INCR","347222.25","1.423","0.032","0.879","4.543","7.127","15.439"
"LPUSH","303951.38","1.622","0.024","1.455","4.015","5.335","8.647"
"RPUSH","272479.56","1.757","0.024","1.495","4.295","6.319","21.007"
"LPOP","295858.00","1.672","0.024","1.455","3.871","6.663","15.071"
"RPOP","272479.56","1.817","0.032","1.511","4.663","7.199","13.959"
"SADD","275482.09","1.786","0.032","1.567","4.383","6.783","16.223"
"HSET","270270.28","1.832","0.032","1.631","4.223","7.111","14.199"
"SPOP","284900.28","1.736","0.016","1.535","4.279","7.063","9.519"
"LPUSH (needed to benchmark LRANGE)","292397.66","1.688","0.024","1.415","4.103","7.031","24.207"
"LRANGE_100 (first 100 elements)","125628.14","3.766","0.112","2.191","12.735","23.695","37.183"
"MSET (10 keys)","129870.13","3.840","0.112","3.103","9.431","13.943","25.519"
