"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","90826.52","0.368","0.008","0.279","0.911","1.743","8.431"
"PING_MBULK","92421.44","0.354","0.008","0.271","0.839","1.663","13.063"
"SET","94876.66","0.352","0.008","0.263","0.847","1.727","12.855"
"GET","98135.42","0.340","0.008","0.255","0.839","1.471","12.415"
"INCR","95419.85","0.349","0.016","0.263","0.847","1.615","9.103"
"LPUSH","92936.80","0.354","0.016","0.279","0.855","1.615","9.767"
"RPUSH","99403.58","0.344","0.016","0.255","0.879","1.671","11.703"
"LPOP","96899.23","0.335","0.016","0.263","0.783","1.479","12.175"
"RPOP","95877.28","0.340","0.016","0.263","0.775","1.415","17.183"
"SADD","95238.10","0.345","0.016","0.271","0.783","1.575","12.511"
"HSET","95147.48","0.364","0.016","0.263","0.951","1.719","7.335"
"SPOP","98135.42","0.330","0.016","0.255","0.743","1.471","6.847"
"LPUSH (needed to benchmark LRANGE)","96899.23","0.350","0.016","0.263","0.847","1.743","14.711"
"LRANGE_100 (first 100 elements)","65832.78","0.573","0.024","0.375","1.583","3.399","22.047"
"MSET (10 keys)","85178.88","0.485","0.016","0.319","1.391","2.663","18.287"
