test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,94966.770000,7890.160000,0.347000,0.033000,0.016000,0.008000,0.263000,0.024000,0.823000,0.104000,1.743000,0.248000,12.415000,4.024000
PING_MBULK,95328.880000,2998.410000,0.353000,0.006000,0.008000,0.000000,0.255000,0.016000,0.855000,0.024000,1.711000,0.344000,15.399000,7.560000
SET,94876.660000,7334.260000,0.352000,0.033000,0.008000,0.008000,0.263000,0.016000,0.871000,0.104000,1.807000,0.296000,10.743000,3.120000
GET,98135.420000,3808.700000,0.343000,0.018000,0.016000,0.008000,0.255000,0.008000,0.863000,0.056000,1.759000,0.304000,13.383000,2.144000
INCR,94876.660000,5410.840000,0.356000,0.049000,0.016000,0.008000,0.263000,0.008000,0.871000,0.240000,1.615000,1.112000,9.727000,12.288000
LPUSH,92936.800000,3782.020000,0.361000,0.028000,0.016000,0.008000,0.263000,0.016000,0.919000,0.168000,1.799000,0.672000,9.767000,0.776000
RPUSH,99403.580000,2139.920000,0.348000,0.005000,0.016000,0.000000,0.255000,0.000000,0.879000,0.040000,1.679000,0.048000,11.703000,11.728000
LPOP,96899.230000,5782.950000,0.336000,0.034000,0.016000,0.008000,0.263000,0.016000,0.831000,0.152000,1.687000,0.608000,10.607000,4.064000
RPOP,95877.280000,5428.350000,0.341000,0.029000,0.016000,0.008000,0.263000,0.024000,0.823000,0.128000,1.591000,0.184000,13.863000,9.928000
SADD,95238.100000,6112.380000,0.345000,0.039000,0.016000,0.008000,0.271000,0.016000,0.783000,0.160000,1.623000,0.360000,13.343000,5.392000
HSET,95147.480000,5079.170000,0.370000,0.011000,0.016000,0.008000,0.263000,0.032000,0.951000,0.024000,1.879000,0.160000,11.023000,6.280000
SPOP,96899.230000,5457.010000,0.352000,0.032000,0.016000,0.008000,0.255000,0.008000,0.879000,0.192000,1.839000,0.536000,9.087000,3.064000
LPUSH (needed to benchmark LRANGE),96899.230000,2919.870000,0.350000,0.015000,0.016000,0.000000,0.263000,0.016000,0.903000,0.088000,1.743000,0.256000,11.183000,4.704000
LRANGE_100 (first 100 elements),65832.780000,1743.790000,0.565000,0.022000,0.024000,0.000000,0.375000,0.016000,1.543000,0.128000,3.271000,0.200000,22.047000,2.208000
MSET (10 keys),81632.650000,4468.630000,0.500000,0.046000,0.016000,0.000000,0.319000,0.008000,1.471000,0.200000,2.879000,0.600000,18.287000,4.968000
