"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","943396.25","0.325","0.024","0.255","0.591","1.239","14.231"
"PING_MBULK","1030927.81","0.305","0.032","0.255","0.639","1.191","8.591"
"SET","787401.56","0.613","0.032","0.255","2.415","6.543","10.639"
"GET","840336.12","0.553","0.032","0.359","1.351","4.711","10.823"
"INCR","757575.75","0.643","0.032","0.287","2.527","5.599","9.783"
"LPUSH","520833.34","0.944","0.032","1.103","1.343","2.199","3.879"
"RPUSH","520833.34","0.949","0.032","1.103","1.311","2.039","2.647"
"LPOP","537634.38","0.913","0.024","1.095","1.327","2.143","2.879"
"RPOP","540540.56","0.912","0.024","1.095","1.271","2.023","3.199"
"SADD","492610.84","1.004","0.032","1.119","1.471","2.159","5.239"
"HSET","497512.44","0.991","0.032","1.111","1.463","2.111","3.303"
"SPOP","537634.38","0.920","0.024","1.095","1.407","2.551","5.367"
"LPUSH (needed to benchmark LRANGE)","543478.25","0.909","0.032","1.095","1.335","1.999","3.071"
"LRANGE_100 (first 100 elements)","180180.17","2.008","0.120","1.239","6.287","11.583","17.999"
"MSET (10 keys)","250000.00","1.991","0.104","1.575","4.775","6.775","11.847"
