"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101522.84","0.255","0.024","0.247","0.319","0.391","1.279"
"PING_MBULK","111607.14","0.232","0.064","0.231","0.279","0.343","1.143"
"SET","111358.58","0.234","0.040","0.231","0.279","0.351","1.791"
"GET","108695.65","0.240","0.016","0.231","0.311","0.383","1.831"
"INCR","102986.61","0.253","0.040","0.239","0.327","0.383","3.831"
"LPUSH","115074.80","0.226","0.024","0.223","0.279","0.335","1.303"
"RPUSH","116550.12","0.225","0.032","0.223","0.263","0.343","2.975"
"LPOP","108932.46","0.239","0.064","0.231","0.311","0.367","1.383"
"RPOP","101626.02","0.256","0.048","0.247","0.311","0.367","3.575"
"SADD","106837.61","0.243","0.032","0.239","0.311","0.367","1.255"
"HSET","110011.00","0.237","0.024","0.231","0.303","0.367","1.799"
"SPOP","112866.82","0.230","0.016","0.231","0.287","0.351","1.527"
"LPUSH (needed to benchmark LRANGE)","112612.61","0.230","0.032","0.231","0.279","0.343","1.095"
"LRANGE_100 (first 100 elements)","75872.54","0.352","0.024","0.335","0.439","0.775","12.695"
"MSET (10 keys)","107874.87","0.256","0.024","0.239","0.343","0.631","8.271"
