test,rps,rps_iqr,avg_latency_ms,avg_latency_ms_iqr,min_latency_ms,min_latency_ms_iqr,p50_latency_ms,p50_latency_ms_iqr,p95_latency_ms,p95_latency_ms_iqr,p99_latency_ms,p99_latency_ms_iqr,max_latency_ms,max_latency_ms_iqr
PING_INLINE,112994.350000,11727.440000,0.230000,0.026000,0.024000,0.032000,0.223000,0.024000,0.303000,0.024000,0.367000,0.040000,1.279000,1.520000
PING_MBULK,111607.140000,15647.750000,0.232000,0.036000,0.056000,0.032000,0.231000,0.048000,0.295000,0.048000,0.359000,0.032000,1.143000,0.760000
SET,111358.580000,18071.500000,0.234000,0.051000,0.024000,0.024000,0.231000,0.024000,0.287000,0.152000,0.351000,0.224000,1.791000,3.280000
GET,108695.650000,20958.600000,0.240000,0.051000,0.024000,0.024000,0.231000,0.064000,0.311000,0.056000,0.383000,0.072000,1.831000,2.080000
INCR,102986.610000,11520.880000,0.253000,0.025000,0.040000,0.056000,0.239000,0.016000,0.327000,0.048000,0.375000,0.032000,2.911000,2.416000
LPUSH,108932.460000,18269.380000,0.241000,0.047000,0.024000,0.008000,0.231000,0.040000,0.303000,0.064000,0.367000,0.128000,3.207000,4.288000
RPUSH,114025.090000,15233.000000,0.229000,0.032000,0.032000,0.024000,0.231000,0.024000,0.271000,0.056000,0.343000,0.040000,1.983000,1.496000
LPOP,108932.460000,6788.910000,0.239000,0.014000,0.064000,0.048000,0.231000,0.016000,0.311000,0.032000,0.367000,0.016000,1.383000,2.040000
RPOP,109170.300000,11240.800000,0.238000,0.025000,0.032000,0.024000,0.231000,0.024000,0.311000,0.008000,0.359000,0.008000,1.943000,1.920000
SADD,109890.110000,6928.030000,0.236000,0.013000,0.032000,0.016000,0.231000,0.016000,0.303000,0.008000,0.367000,0.016000,1.255000,1.016000
HSET,110011.000000,5047.510000,0.237000,0.012000,0.024000,0.040000,0.231000,0.008000,0.303000,0.040000,0.367000,0.040000,1.607000,0.264000
SPOP,105596.620000,20530.710000,0.250000,0.052000,0.016000,0.008000,0.239000,0.056000,0.319000,0.064000,0.415000,0.072000,1.967000,3.168000
LPUSH (needed to benchmark LRANGE),109890.110000,11192.730000,0.237000,0.026000,0.032000,0.048000,0.231000,0.024000,0.311000,0.040000,0.359000,0.040000,1.487000,0.816000
LRANGE_100 (first 100 elements),75872.540000,2226.960000,0.353000,0.016000,0.032000,0.008000,0.335000,0.008000,0.439000,0.032000,0.983000,0.400000,12.695000,9.016000
MSET (10 keys),107874.870000,3316.110000,0.255000,0.007000,0.024000,0.008000,0.239000,0.008000,0.343000,0.016000,0.607000,0.032000,5.319000,3.240000
